sub ses blk trl soa cond acc rt
10 1 2 134 0.4 2 1 0.33208
10 1 2 135 0.3 0 1 0.29877
10 1 2 136 0.6 0 1 0.24898
10 1 2 137 0.5 0 1 0.2489
10 1 2 138 0.3 0 1 0.28235
10 1 2 139 0.6 0 1 0.2658
10 1 2 140 0.3 0 1 0.24912
10 1 2 141 0.4 0 1 0.2657
10 1 2 142 0.6 0 1 0.24913
10 1 2 143 0.6 0 1 0.13289
10 1 2 144 0.5 0 1 0.332
10 1 2 145 0.3 0 1 0.29878
10 1 2 146 0.5 2 1 0.34865
10 1 2 147 0.6 0 1 0.29875
10 1 2 148 0.3 0 1 0.38173
10 1 2 149 0.3 2 1 0.44828
10 1 2 150 0.4 0 1 0.31528
10 1 2 151 0.6 0 1 0.4481
10 1 2 152 0.5 2 1 0.3483
10 1 2 153 0.6 2 1 0.41501
10 1 2 154 0.4 0 1 0.2988
10 1 2 155 0.4 0 1 0.43209
10 1 2 156 0.6 0 0 NA
10 1 2 157 0.3 2 1 0.066481
10 1 2 158 0.6 0 1 0.29886
10 1 2 159 0.6 2 1 0.29881
10 1 2 160 0.4 0 1 0.28223
10 1 3 1 0.5 0 1 0.26553
10 1 3 2 0.5 0 1 0.26554
10 1 3 3 0.6 2 1 0.34837
10 1 3 4 0.3 0 1 0.3486
10 1 3 5 0.6 0 1 0.2491
10 1 3 6 0.6 0 1 0.38196
10 1 3 7 0.5 0 1 0.24894
10 1 3 8 0.5 0 1 0.28222
10 1 3 9 0.4 0 1 0.24869
10 1 3 10 0.5 0 1 0.24916
10 1 3 11 0.5 0 1 0.34856
10 1 3 12 0.3 0 1 0.28221
10 1 3 13 0.5 2 1 0.18269
10 1 3 14 0.5 0 1 0.23239
10 1 3 15 0.6 0 1 0.033289
10 1 3 16 0.3 0 1 0.28226
10 1 3 17 0.6 0 1 0.24902
10 1 3 18 0.3 0 1 0.33176
10 1 3 19 0.5 0 1 0.21588
10 1 3 20 0.3 2 1 0.46484
10 1 3 21 0.3 0 1 0.31543
10 1 3 22 0.6 0 1 0.26562
10 1 3 23 0.4 2 1 0.4316
10 1 3 24 0.5 0 1 0.26523
10 1 3 25 0.6 0 1 0.033337
10 1 3 26 0.6 0 1 0.23245
10 1 3 27 0.3 0 1 0.29881
10 1 3 28 0.5 2 1 0.24901
10 1 3 29 0.6 0 1 0.26546
10 1 3 30 0.6 0 1 0.24888
10 1 3 31 0.3 2 1 0.33192
10 1 3 32 0.6 2 1 0.23265
10 1 3 33 0.5 0 1 0.13258
10 1 3 34 0.6 0 1 0.21589
10 1 3 35 0.6 0 1 0.23216
10 1 3 36 0.3 0 1 0.26545
10 1 3 37 0.4 0 1 0.16591
10 1 3 38 0.3 0 1 0.2656
10 1 3 39 0.4 2 1 0.21613
10 1 3 40 0.6 2 1 0.24906
10 1 3 41 0.5 0 1 0.1992
10 1 3 42 0.4 0 1 0.23228
10 1 3 43 0.4 0 1 0.24915
10 1 3 44 0.6 2 0 NA
10 1 3 45 0.3 2 1 0.4151
10 1 3 46 0.5 0 1 0.28225
10 1 3 47 0.3 0 1 0.28239
10 1 3 48 0.6 0 1 0.31539
10 1 3 49 0.3 0 1 0.31526
10 1 3 50 0.5 0 1 0.29872
10 1 3 51 0.5 0 1 0.24906
10 1 3 52 0.5 0 1 0.049936
10 1 3 53 0.6 2 1 0.11639
10 1 3 54 0.4 0 1 0.2491
10 1 3 55 0.3 2 1 0.43148
10 1 3 56 0.6 0 1 0.066631
10 1 3 57 0.6 0 1 0.26576
10 1 3 58 0.4 2 1 0.34865
10 1 3 59 0.3 0 1 0.38176
10 1 3 60 0.4 0 1 0.26571
10 1 3 61 0.4 0 1 0.24891
10 1 3 62 0.3 2 1 0.39835
10 1 3 63 0.3 0 1 0.28216
10 1 3 64 0.5 0 1 0.26553
10 1 3 65 0.3 0 1 0.28234
10 1 3 66 0.4 2 1 0.2489
10 1 3 67 0.5 0 1 0.23236
10 1 3 68 0.4 0 1 0.28215
10 1 3 69 0.6 2 1 0.13287
10 1 3 70 0.5 0 1 0.2823
10 1 3 71 0.5 0 1 0.11623
10 1 3 72 0.6 2 1 0.21586
10 1 3 73 0.3 0 1 0.38182
10 1 3 74 0.4 0 1 0.21567
10 1 3 75 0.4 2 1 0.23256
10 1 3 76 0.6 0 1 0.23241
10 1 3 77 0.5 0 1 0.2824
10 1 3 78 0.6 0 1 0.24929
10 1 3 79 0.4 0 1 0.36507
10 1 3 80 0.4 0 1 0.24881
10 1 3 81 0.3 2 1 0.099832
10 1 3 82 0.4 0 1 0.24893
10 1 3 83 0.5 0 1 0.049891
10 1 3 84 0.3 0 1 0.26549
10 1 3 85 0.6 0 0 NA
10 1 3 86 0.6 0 0 NA
