sub ses blk trl arrow cond acc rt
10 1 4 9 1 2 1 0.42584
10 1 4 10 1 2 1 0.45537
10 1 4 11 1 0 1 0.37213
10 1 4 12 2 2 1 0.42385
10 1 4 13 1 0 1 0.4287
10 1 4 14 1 0 1 0.41637
10 1 4 15 1 2 1 0.51816
10 1 4 16 1 1 1 0.38758
10 1 4 17 1 0 1 0.40087
10 1 4 18 1 2 1 0.36589
10 1 4 19 2 2 1 2.7057
10 1 4 20 1 1 1 0.45025
10 1 4 21 2 2 1 0.44708
10 1 4 22 2 0 1 0.40548
10 1 4 23 2 1 1 0.41697
10 1 4 24 1 1 1 0.54124
10 1 4 25 1 1 1 0.39676
10 1 4 26 1 1 1 0.34551
10 1 4 27 1 1 1 0.35409
10 1 4 28 1 1 1 0.295
10 1 4 29 1 0 1 0.35937
10 1 4 30 1 1 1 0.34757
10 1 4 31 1 2 1 0.2708
10 1 4 32 2 1 1 0.33484
10 1 4 33 2 1 1 0.34552
10 1 4 34 2 0 1 0.47596
10 1 4 35 2 2 1 0.36157
10 1 4 36 1 2 1 0.46707
10 1 4 37 2 0 1 0.34622
10 1 4 38 2 0 1 0.30013
10 1 4 39 1 1 1 0.40558
10 1 4 40 2 1 1 0.29893
10 1 4 41 1 0 1 0.38029
10 1 4 42 1 1 1 0.45559
10 1 4 43 1 0 1 0.41244
10 1 4 44 2 0 1 0.49552
10 1 4 45 1 2 1 0.34312
10 1 4 46 2 2 1 0.3283
10 1 4 47 2 1 1 0.43413
10 1 4 48 2 0 1 0.47269
10 1 4 49 2 0 1 0.42969
10 1 4 50 2 0 1 0.41918
10 1 4 51 2 2 1 0.54166
10 1 4 52 1 2 1 0.51801
10 1 4 53 1 2 1 0.47597
10 1 4 54 2 0 1 0.38611
10 1 4 55 2 0 1 0.47716
10 1 4 56 1 1 1 0.421
10 1 4 57 2 1 1 0.42717
10 1 4 58 2 1 1 0.46087
10 1 4 59 2 0 1 0.3772
10 1 4 60 2 1 1 0.3733
10 1 4 61 2 1 1 0.30552
10 1 4 62 1 2 1 0.49308
10 1 4 63 1 0 1 0.50614
10 1 4 64 1 2 1 1.193
10 1 4 65 1 0 1 0.35093
10 1 4 66 1 2 1 0.3947
10 1 4 67 1 0 1 0.36545
10 1 4 68 2 2 0 0.35238
10 1 4 69 1 0 1 0.41997
10 1 4 70 2 2 1 0.39894
10 1 4 71 1 1 1 0.44356
10 1 4 72 2 2 0 0.42618
10 1 4 73 2 0 1 0.37557
10 1 4 74 1 2 1 0.45644
10 1 4 75 2 0 1 0.34301
10 1 4 76 2 1 1 0.46531
10 1 4 77 2 2 1 0.4955
10 1 4 78 2 1 1 0.41358
10 1 4 79 1 0 1 0.58522
10 1 4 80 1 2 1 0.61825
10 1 4 81 1 1 1 0.48458
10 1 4 82 1 2 1 0.48971
10 1 4 83 2 0 1 0.391
10 1 4 84 2 2 0 0.46554
10 1 4 85 1 0 1 0.41519
10 1 4 86 1 1 1 0.42148
10 1 4 87 2 1 1 0.40884
10 1 4 88 1 2 1 0.35921
10 1 4 89 1 1 1 0.39117
10 1 4 90 1 2 1 0.37988
10 1 4 91 1 2 1 0.38254
10 1 4 92 1 0 1 0.37091
10 1 4 93 1 2 1 0.34244
10 1 4 94 1 1 1 0.37919
10 1 4 95 1 1 1 0.31746
10 1 4 96 2 0 1 0.439
10 1 4 97 2 2 1 0.4261
10 1 4 98 2 0 1 0.38614
10 1 4 99 1 2 1 0.39574
10 1 4 100 2 1 1 0.37548
10 1 4 101 2 1 1 0.47431
10 1 4 102 1 1 1 0.39069
10 1 4 103 1 0 1 0.45268
10 1 4 104 2 0 1 0.43328
10 1 4 105 2 0 1 0.37313
10 1 4 106 2 2 1 0.47192
10 1 4 107 2 2 1 0.51874
10 1 4 108 1 0 1 0.46107
