sub ageGroup block trialType cond stim acc rt
102 1 block3 exp neutral $$$ 1 0.865838
102 1 block3 exp neutral $$$$ 1 0.539357
102 1 block4 warm-up neutral $$$$ 1 1.455862
102 1 block4 warm-up incongruent 44 1 0.785698
102 1 block4 exp congruent 4444 1 0.501911
102 1 block4 exp incongruent 44 1 0.565372
102 1 block4 exp incongruent 3 1 0.658892
102 1 block4 exp congruent 1 1 0.54838
102 1 block4 exp neutral $ 1 0.553534
102 1 block4 exp incongruent 44 1 1.095064
102 1 block4 exp congruent 4444 1 0.551395
102 1 block4 exp neutral $$$$ 1 0.444878
102 1 block4 exp neutral $ 1 0.647026
102 1 block4 exp incongruent 222 1 1.081191
102 1 block4 exp congruent 333 1 0.562288
102 1 block4 exp neutral $$$$ 1 0.590763
102 1 block4 exp congruent 1 1 0.658885
102 1 block4 exp congruent 333 1 0.652426
102 1 block4 exp congruent 1 1 0.557908
102 1 block4 exp neutral $$ 1 0.659425
102 1 block4 exp congruent 1 1 0.596939
102 1 block4 exp incongruent 222 1 0.809234
102 1 block4 exp congruent 22 1 0.948711
102 1 block4 exp incongruent 3 1 0.514013
102 1 block4 exp neutral $$$ 1 1.433548
102 1 block4 exp neutral $$$$ 1 0.611978
102 1 block4 exp incongruent 222 1 0.743478
102 1 block4 exp neutral $$$ 1 0.669765
102 1 block4 exp neutral $$$$ 1 0.590577
102 1 block4 exp congruent 22 1 0.98675
102 1 block4 exp congruent 4444 1 1.559149
102 1 block4 exp incongruent 44 1 1.260015
102 1 block4 exp incongruent 1111 1 0.589695
102 1 block4 exp incongruent 222 1 0.825907
102 1 block4 exp congruent 4444 1 0.644825
102 1 block4 exp neutral $$$ 1 0.702998
102 1 block4 exp incongruent 1111 1 1.1666
102 1 block4 exp neutral $ 0 1.995006
102 1 block4 exp incongruent 3 1 0.792006
102 1 block4 exp incongruent 44 1 0.724256
102 1 block4 exp incongruent 1111 1 0.635141
