subject,session,date,time,condition,block,trial,rt,wait_time,probe_resp
9004,1,10/03/22,13:05,grey,real,7,0.3011621,7500,NA
9004,1,10/03/22,13:05,grey,real,8,0.3777078,2500,2
9004,1,10/03/22,13:05,grey,real,9,0.3758881,4000,NA
9004,1,10/03/22,13:05,grey,real,10,0.3647151,8000,NA
9004,1,10/03/22,13:05,grey,real,11,0.3666171,6500,NA
9004,1,10/03/22,13:05,grey,real,12,0.3420743,6500,NA
9004,1,10/03/22,13:05,grey,real,13,0.3824893,3500,NA
9004,1,10/03/22,13:05,grey,real,14,0.3520838,7500,NA
9004,1,10/03/22,13:05,grey,real,15,0.3795453,3000,NA
9004,1,10/03/22,13:05,grey,real,16,0.3319136,4500,2
9004,1,10/03/22,13:05,grey,real,17,0.3763,6000,NA
9004,1,10/03/22,13:05,grey,real,18,0,6000,NA
9004,1,10/03/22,13:05,grey,real,19,0,4000,NA
9004,1,10/03/22,13:05,grey,real,20,0.3022486,8000,NA
9004,1,10/03/22,13:05,grey,real,21,1.1702171,2500,NA
9004,1,10/03/22,13:05,grey,real,22,0.4920139,4500,NA
9004,1,10/03/22,13:05,grey,real,23,0,5500,NA
9004,1,10/03/22,13:05,grey,real,24,0,2500,3
9004,1,10/03/22,13:05,grey,real,25,0.5028766,7500,NA
9004,1,10/03/22,13:05,grey,real,26,0.4175606,4500,NA
9004,1,10/03/22,13:05,grey,real,27,0.3265559,6000,NA
9004,1,10/03/22,13:05,grey,real,28,0.4713001,3500,NA
9004,1,10/03/22,13:05,grey,real,29,0.2992992,4500,NA
9004,1,10/03/22,13:05,grey,real,30,0.3131231,4000,NA
9004,1,10/03/22,13:05,grey,real,31,0.3033538,4500,NA
9004,1,10/03/22,13:05,grey,real,32,0.3106504,3500,3
9004,1,10/03/22,13:05,grey,real,33,0.6306614,6000,NA
9004,1,10/03/22,13:05,grey,real,34,0.3666417,7000,NA
9004,1,10/03/22,13:05,grey,real,35,0.4614119,2500,NA
9004,1,10/03/22,13:05,grey,real,36,0.3556642,5000,NA
9004,1,10/03/22,13:05,grey,real,37,0.3762548,4500,NA
9004,1,10/03/22,13:05,grey,real,38,0.5425869,3000,NA
9004,1,10/03/22,13:05,grey,real,39,0.4059723,3500,NA
9004,1,10/03/22,13:05,grey,real,40,0.7446051,4500,3
9004,1,10/03/22,13:05,grey,real,41,0,4500,NA
9004,1,10/03/22,13:05,grey,real,42,0.3625166,6000,NA
9004,1,10/03/22,13:05,grey,real,43,0.3049265,6500,NA
9004,1,10/03/22,13:05,grey,real,44,0.361403,7500,NA
9004,1,10/03/22,13:05,grey,real,45,0.5005025,5500,NA
9004,1,10/03/22,13:05,grey,real,46,0.3621091,8000,NA
9004,1,10/03/22,13:05,grey,real,47,0.461202,4000,NA
9004,1,10/03/22,13:05,grey,real,48,0.4654971,7000,5
9004,1,10/03/22,13:05,grey,real,49,0.5236943,5000,NA
9004,1,10/03/22,13:05,grey,real,50,0.5482935,2000,NA
9004,1,10/03/22,13:05,grey,real,51,0.5511517,4000,NA
9004,1,10/03/22,13:05,grey,real,52,0.719335,2500,NA
9004,1,10/03/22,13:05,grey,real,53,0.5344417,4500,NA
9004,1,10/03/22,13:05,grey,real,54,0.4131167,4000,NA
9004,1,10/03/22,13:05,grey,real,55,0.4303022,8000,NA
9004,1,10/03/22,13:05,grey,real,56,0.4624107,2500,5
9004,1,10/03/22,13:05,grey,real,57,0.9484953,2500,NA
9004,1,10/03/22,13:05,grey,real,58,0.4958756,7500,NA
9004,1,10/03/22,13:05,grey,real,59,0.5441497,3500,NA
9004,1,10/03/22,13:05,grey,real,60,0.5956149,7000,NA
9005,1,10/03/22,13:20,grey,practice,1,0,3000,NA
9005,1,10/03/22,13:20,grey,practice,2,0.4959873,6000,NA
9005,1,10/03/22,13:20,grey,practice,3,0.5315024,6000,NA
9005,1,10/03/22,13:20,grey,practice,4,0.3247101,4000,NA
9005,1,10/03/22,13:20,grey,practice,5,0.3739217,4000,NA
9005,1,10/03/22,13:20,grey,real,1,0.3777559,3000,NA
9005,1,10/03/22,13:20,grey,real,2,0.3693179,7500,NA
9005,1,10/03/22,13:20,grey,real,3,0.4854645,3000,NA
9005,1,10/03/22,13:20,grey,real,4,0,7000,NA
9005,1,10/03/22,13:20,grey,real,5,0.4466798,3000,NA
9005,1,10/03/22,13:20,grey,real,6,0.350385,7500,NA
9005,1,10/03/22,13:20,grey,real,7,0.3903184,7500,NA
9005,1,10/03/22,13:20,grey,real,8,0.5167966,5000,5
9005,1,10/03/22,13:20,grey,real,9,0.3964305,4500,NA
9005,1,10/03/22,13:20,grey,real,10,0.4519575,5500,NA
9005,1,10/03/22,13:20,grey,real,11,0.3981474,5500,NA
9005,1,10/03/22,13:20,grey,real,12,0,7500,NA
9005,1,10/03/22,13:20,grey,real,13,0.3430802,6000,NA
9005,1,10/03/22,13:20,grey,real,14,0.3333951,7000,NA
9005,1,10/03/22,13:20,grey,real,15,0.3584484,8000,NA
9005,1,10/03/22,13:20,grey,real,16,0,5000,1
9005,1,10/03/22,13:20,grey,real,17,0.4096972,8000,NA
9005,1,10/03/22,13:20,grey,real,18,0.484495,6500,NA
9005,1,10/03/22,13:20,grey,real,19,0.4393214,7000,NA
9005,1,10/03/22,13:20,grey,real,20,0.4580912,7000,NA
9005,1,10/03/22,13:20,grey,real,21,0.3707551,7500,NA
9005,1,10/03/22,13:20,grey,real,22,0.5679563,7500,NA
9005,1,10/03/22,13:20,grey,real,23,0.5605591,7500,NA
9005,1,10/03/22,13:20,grey,real,24,0.4425418,2500,2
9005,1,10/03/22,13:20,grey,real,25,0.4141975,3500,NA
9005,1,10/03/22,13:20,grey,real,26,0.5357804,2000,NA
9005,1,10/03/22,13:20,grey,real,27,0.3639357,6000,NA
9005,1,10/03/22,13:20,grey,real,28,0.443894,5000,NA
9005,1,10/03/22,13:20,grey,real,29,0.4225377,7000,NA
9005,1,10/03/22,13:20,grey,real,30,0.5147387,2000,NA
9005,1,10/03/22,13:20,grey,real,31,0,4500,NA
9005,1,10/03/22,13:20,grey,real,32,0.3423638,7500,1
9005,1,10/03/22,13:20,grey,real,33,0,5000,NA
9005,1,10/03/22,13:20,grey,real,34,0.4639561,4000,NA
9005,1,10/03/22,13:20,grey,real,35,0,6000,NA
