subject,session,date,time,list,phase,serial_position,cue,target,rt,correct,...11,...12,...13,...14,...15,...16
9002,1,10/10/2022,09:08:00,9,recall,1,NA,bonus,2366.7612,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,9,recall,3,NA,trial,1449.1414,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,9,recall,8,NA,movie,1775.9027,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,9,recall,10,NA,puppy,1110.9996,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,9,recall,3,NA,trial,4062.355,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,9,recall,9,NA,theft,4167.5786,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,10,recall,1,NA,arena,2597.0798,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,10,recall,1,NA,arena,4308.2901,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,10,recall,2,NA,camel,1465.2547,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,10,recall,8,NA,unity,1640.9844,1,NA,NA,NA,NA,NA,NA
9002,1,10/10/2022,09:08:00,10,recall,8,NA,craft,17248.0057,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,1,recall,8,NA,book,8093.4723,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,1,recall,9,NA,vista,3508.6175,1,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,1,recall,1,NA,novel,6163.0195,1,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,1,recall,8,NA,cheek,3283.1958,1,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,1,recall,7,NA,ebony,4994.9634,1,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,1,recall,7,NA,costa,25220.3431,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,2,recall,1,NA,music,3704.9222,1,NA,NA,NA,NA,NA,NA
