subject,session,block,trial,subtrial,trialtype,setsize,resp,acc,rt,proberesp
9005,1,real,41,41,change,6,f,0,1289.2231,NA
9005,1,real,42,42,nochange,6,f,1,1723.5916,NA
9005,1,real,43,43,nochange,6,f,1,926.0503,NA
9005,1,real,44,44,change,6,j,1,1794.6216,NA
9005,1,real,45,45,change,6,f,0,1454.7974,NA
9005,1,real,46,46,change,6,j,1,1121.9313,NA
9005,1,real,47,47,change,6,j,1,1549.7244,NA
9005,1,real,48,48,change,6,j,1,1476.8847,1
9005,1,real,49,49,nochange,6,f,1,1748.9491,NA
9005,1,real,50,50,nochange,6,f,1,1037.355,NA
9005,1,real,51,51,nochange,6,f,1,3932.112,NA
9005,1,real,52,52,change,6,j,1,1280.0068,NA
9005,1,real,53,53,nochange,6,f,1,2715.2548,NA
9005,1,real,54,54,change,6,j,1,1729.5796,NA
9005,1,real,55,55,change,6,j,1,1552.5291,NA
9005,1,real,56,56,change,6,j,1,1393.0029,1
9005,1,real,57,57,change,6,j,1,912.3475,NA
9005,1,real,58,58,change,6,j,1,838.9385,NA
9005,1,real,59,59,nochange,6,f,1,1081.3518,NA
9005,1,real,60,60,nochange,6,f,1,921.7337,NA
9006,1,practice,0,1,nochange,6,f,1,1789.8024,NA
9006,1,practice,0,2,change,6,j,1,1061.0293,NA
9006,1,practice,0,3,change,6,j,1,1365.8656,NA
9006,1,practice,0,4,change,6,j,1,1439.6218,NA
9006,1,practice,0,5,nochange,6,f,1,1687.246,NA
9006,1,practice,0,6,nochange,6,f,1,1784.8592,NA
9006,1,real,1,1,nochange,6,f,1,1126.828,NA
9006,1,real,2,2,nochange,6,j,0,1390.272,NA
9006,1,real,3,3,nochange,6,f,1,2740.6956,NA
9006,1,real,4,4,nochange,6,f,1,1827.0184,NA
9006,1,real,5,5,nochange,6,j,0,3378.0321,NA
9006,1,real,6,6,change,6,f,0,0.184000000008,NA
9006,1,real,7,7,change,6,f,0,1011.2311,NA
9006,1,real,8,8,change,6,j,1,492.6798,1
