subject,session,date,time,item,acc,rt
9037,2,11/14/22,12:47,3,1,3463.2715
9037,2,11/14/22,12:47,4,1,6177.3732
9037,2,11/14/22,12:47,5,1,36628.8945
9037,2,11/14/22,12:47,6,0,13204.6855
9037,2,11/14/22,12:47,7,1,32538.3135
9037,2,11/14/22,12:47,8,1,10703.2011
9037,2,11/14/22,12:47,9,1,44287.6799
9037,2,11/14/22,12:47,10,1,14816.1168
9037,2,11/14/22,12:47,11,1,23016.2567
9037,2,11/14/22,12:47,12,1,10198.8311
9037,2,11/14/22,12:47,13,1,12748.1214
9037,2,11/14/22,12:47,14,1,12548.691
9037,2,11/14/22,12:47,15,0,NA
9038,2,11/14/22,16:04,1,0,118.2949
9038,2,11/14/22,16:04,2,0,3263.0792
9038,2,11/14/22,16:04,3,0,2821.9343
9038,2,11/14/22,16:04,4,1,5498.8301
9038,2,11/14/22,16:04,5,0,2223.9345
9038,2,11/14/22,16:04,6,0,7695.1703
9038,2,11/14/22,16:04,7,0,508.9286
9038,2,11/14/22,16:04,8,0,NA
9038,2,11/14/22,16:04,9,0,177.4582
9038,2,11/14/22,16:04,10,0,907.9876
9038,2,11/14/22,16:04,11,0,140.2489
9038,2,11/14/22,16:04,12,0,41.1084
9038,2,11/14/22,16:04,13,0,2.11709999999
9038,2,11/14/22,16:04,14,0,295.2937
9038,2,11/14/22,16:04,15,0,NA
9039,2,11/14/22,16:14,1,0,13383.0921
9039,2,11/14/22,16:14,2,0,14499.5718
9039,2,11/14/22,16:14,3,0,7475.8787
9039,2,11/14/22,16:14,4,1,8456.7884
9039,2,11/14/22,16:14,5,1,5753.5073
9039,2,11/14/22,16:14,6,0,13743.4448
9039,2,11/14/22,16:14,7,0,8536.1941
9039,2,11/14/22,16:14,8,0,16783.7161
9039,2,11/14/22,16:14,9,0,14866.271
9039,2,11/14/22,16:14,10,0,2704.8042
9039,2,11/14/22,16:14,11,0,16233.8367
9039,2,11/14/22,16:14,12,0,18798.0364
9039,2,11/14/22,16:14,13,1,10403.0345
9039,2,11/14/22,16:14,14,0,NA
9039,2,11/14/22,16:14,15,1,11246.1508
9041,2,11/15/22,10:05,1,1,9134.3863
9041,2,11/15/22,10:05,2,1,26118.9282
9041,2,11/15/22,10:05,3,0,14001.2345
9041,2,11/15/22,10:05,4,0,13041.1097
9041,2,11/15/22,10:05,5,0,10264.7675
9041,2,11/15/22,10:05,6,0,16790.6474
9041,2,11/15/22,10:05,7,0,9794.1382
9041,2,11/15/22,10:05,8,0,18820.1761
9041,2,11/15/22,10:05,9,0,8122.3624
9041,2,11/15/22,10:05,10,0,22121.2964
9041,2,11/15/22,10:05,11,1,7911.2438
9041,2,11/15/22,10:05,12,1,17436.8069
9041,2,11/15/22,10:05,13,0,10560.86
