subject,session,date,time,block,trial,delay,acc,rt,target_side
9004,1,10/3/2022,12:28,antisaccade,25,3000,1,566.5295,left
9004,1,10/3/2022,12:28,antisaccade,26,2000,0,1054.187,left
9004,1,10/3/2022,12:28,antisaccade,27,3000,1,826.5075,right
9004,1,10/3/2022,12:28,antisaccade,28,3000,0,3116.0325,right
9004,1,10/3/2022,12:28,antisaccade,29,2000,1,2088.503,left
9004,1,10/3/2022,12:28,antisaccade,30,3000,0,625.216,left
9004,1,10/3/2022,12:28,antisaccade,31,2000,1,1463.2192,right
9004,1,10/3/2022,12:28,antisaccade,32,3000,1,724.5317,right
9004,1,10/3/2022,12:28,antisaccade,33,2000,1,753.073,left
9004,1,10/3/2022,12:28,antisaccade,34,2000,1,1166.7253,left
9004,1,10/3/2022,12:28,antisaccade,35,2000,0,758.3043,right
9004,1,10/3/2022,12:28,antisaccade,36,3000,1,610.3764,left
9004,1,10/3/2022,12:28,antisaccade,37,2000,0,879.5148,right
9004,1,10/3/2022,12:28,antisaccade,38,2000,1,1053.3757,right
9004,1,10/3/2022,12:28,antisaccade,39,3000,1,704.3179,left
9004,1,10/3/2022,12:28,antisaccade,40,2000,1,676.801,left
9004,1,10/3/2022,12:28,antisaccade,41,2000,1,517.6994,left
9004,1,10/3/2022,12:28,antisaccade,42,3000,1,502.6578,left
9004,1,10/3/2022,12:28,antisaccade,43,2000,0,1302.8661,right
9004,1,10/3/2022,12:28,antisaccade,44,3000,0,787.4871,right
9004,1,10/3/2022,12:28,antisaccade,45,3000,1,532.1244,left
9004,1,10/3/2022,12:28,antisaccade,46,3000,1,597.4441,right
9004,1,10/3/2022,12:28,antisaccade,47,2000,0,728.7325,left
9004,1,10/3/2022,12:28,antisaccade,48,3000,0,1172.2783,right
9004,1,10/3/2022,12:28,antisaccade,49,3000,1,742.0322,right
9004,1,10/3/2022,12:28,antisaccade,50,2000,0,674.5371,right
9004,1,10/3/2022,12:28,antisaccade,51,3000,0,827.4393,right
9004,1,10/3/2022,12:28,antisaccade,52,3000,1,673.3776,left
9004,1,10/3/2022,12:28,antisaccade,53,3000,1,864.2824,right
9004,1,10/3/2022,12:28,antisaccade,54,2000,1,850.5867,right
9004,1,10/3/2022,12:28,antisaccade,55,3000,0,987.3051,right
9004,1,10/3/2022,12:28,antisaccade,56,3000,1,1214.5914,left
9004,1,10/3/2022,12:28,antisaccade,57,3000,1,700.5446,left
9004,1,10/3/2022,12:28,antisaccade,58,2000,0,853.7905,left
9004,1,10/3/2022,12:28,antisaccade,59,3000,1,742.8543,left
9004,1,10/3/2022,12:28,antisaccade,60,3000,1,584.2442,left
9005,1,10/3/2022,12:42,slow_practice,1,2000,1,1704.4401,left
9005,1,10/3/2022,12:42,slow_practice,2,2000,1,694.019,left
9005,1,10/3/2022,12:42,slow_practice,3,2000,1,675.9842,right
9005,1,10/3/2022,12:42,slow_practice,4,2000,1,1123.9033,left
9005,1,10/3/2022,12:42,slow_practice,5,3000,1,842.1185,right
9005,1,10/3/2022,12:42,slow_practice,6,3000,0,557.3354,left
9005,1,10/3/2022,12:42,slow_practice,7,3000,1,609.4665,left
9005,1,10/3/2022,12:42,slow_practice,8,3000,1,558.0163,left
9005,1,10/3/2022,12:42,fast_practice,1,3000,1,413.8151,right
9005,1,10/3/2022,12:42,fast_practice,2,2000,0,1083.192,right
9005,1,10/3/2022,12:42,fast_practice,3,3000,0,1281.4605,left
9005,1,10/3/2022,12:42,fast_practice,4,2000,0,1688.2546,left
9005,1,10/3/2022,12:42,fast_practice,5,2000,0,1117.6002,left
9005,1,10/3/2022,12:42,fast_practice,6,3000,1,844.6876,left
9005,1,10/3/2022,12:42,fast_practice,7,2000,1,886.0699,right
9005,1,10/3/2022,12:42,fast_practice,8,3000,0,1418.2731,left
9005,1,10/3/2022,12:42,fast_practice,9,3000,1,933.4381,left
9005,1,10/3/2022,12:42,fast_practice,10,3000,0,1290.2669,left
9005,1,10/3/2022,12:42,fast_practice,11,3000,0,739.5693,right
9005,1,10/3/2022,12:42,fast_practice,12,2000,0,1449.6502,right
9005,1,10/3/2022,12:42,fast_practice,13,2000,1,1235.4129,right
9005,1,10/3/2022,12:42,fast_practice,14,2000,1,996.3645,right
9005,1,10/3/2022,12:42,fast_practice,15,3000,1,719.2762,right
9005,1,10/3/2022,12:42,fast_practice,16,2000,0,765.1524,right
9005,1,10/3/2022,12:42,antisaccade,1,2000,0,1832.0654,left
9005,1,10/3/2022,12:42,antisaccade,2,2000,1,1505.8813,right
9005,1,10/3/2022,12:42,antisaccade,3,2000,1,1509.4124,right
9005,1,10/3/2022,12:42,antisaccade,4,2000,1,1038.3514,left
9005,1,10/3/2022,12:42,antisaccade,5,3000,1,1655.8481,left
9005,1,10/3/2022,12:42,antisaccade,6,2000,1,1149.1158,right
9005,1,10/3/2022,12:42,antisaccade,7,3000,1,1455.628,left
9005,1,10/3/2022,12:42,antisaccade,8,3000,1,1335.9623,left
9005,1,10/3/2022,12:42,antisaccade,9,2000,0,1370.5234,right
9005,1,10/3/2022,12:42,antisaccade,10,3000,0,1302.0969,right
9005,1,10/3/2022,12:42,antisaccade,11,2000,0,782.1021,right
9005,1,10/3/2022,12:42,antisaccade,12,2000,1,1681.2247,left
9005,1,10/3/2022,12:42,antisaccade,13,3000,0,928.284,left
9005,1,10/3/2022,12:42,antisaccade,14,2000,1,913.4949,right
9005,1,10/3/2022,12:42,antisaccade,15,3000,0,1108.0146,right
9005,1,10/3/2022,12:42,antisaccade,16,3000,1,879.2216,right
9005,1,10/3/2022,12:42,antisaccade,17,2000,0,1458.2719,left
9005,1,10/3/2022,12:42,antisaccade,18,2000,0,1123.6622,right
9005,1,10/3/2022,12:42,antisaccade,19,3000,1,2213.6399,right
9005,1,10/3/2022,12:42,antisaccade,20,2000,0,836.3632,right
9005,1,10/3/2022,12:42,antisaccade,21,2000,0,1065.6395,left
9005,1,10/3/2022,12:42,antisaccade,22,3000,1,1790.9005,left
9005,1,10/3/2022,12:42,antisaccade,23,3000,0,977.9696,right
