subject,session,block,list,setsize,matherrors,lettertotal,ospantotal,motivation,alertness
9044,2,realblock,3,3,0,3,8,NA,NA
9044,2,realblock,4,4,0,4,12,NA,NA
9044,2,realblock,5,7,1,6,18,NA,NA
9044,2,realblock,6,3,0,3,21,NA,NA
9044,2,realblock,7,5,2,3,24,NA,NA
9044,2,realblock,8,5,1,0,24,NA,NA
9044,2,realblock,9,6,0,4,28,NA,NA
9044,2,realblock,10,6,1,2,30,NA,NA
9045,2,realblock,1,6,0,6,6,NA,NA
9045,2,realblock,2,4,1,4,10,NA,NA
9045,2,realblock,3,5,0,5,15,NA,NA
9045,2,realblock,4,5,0,3,18,NA,NA
9045,2,realblock,5,7,0,2,20,NA,NA
9045,2,realblock,6,6,1,4,24,NA,NA
9045,2,realblock,7,3,0,3,27,NA,NA
9045,2,realblock,8,7,1,2,29,NA,NA
9045,2,realblock,9,3,0,3,32,NA,NA
9045,2,realblock,10,4,0,4,36,NA,NA
9046,2,realblock,1,6,0,5,5,NA,NA
9046,2,realblock,2,6,0,6,11,NA,NA
9046,2,realblock,3,4,0,4,15,NA,NA
9046,2,realblock,4,5,0,5,20,NA,NA
9046,2,realblock,5,5,1,5,25,NA,NA
9046,2,realblock,6,7,3,2,27,NA,NA
9046,2,realblock,7,4,0,4,31,NA,NA
9046,2,realblock,8,7,0,2,33,NA,NA
9046,2,realblock,9,3,0,3,36,NA,NA
9046,2,realblock,10,3,0,3,39,NA,NA
9047,2,realblock,1,3,0,3,3,NA,NA
9047,2,realblock,2,5,1,5,8,NA,NA
9047,2,realblock,3,6,1,6,14,NA,NA
9047,2,realblock,4,7,2,4,18,NA,NA
9047,2,realblock,5,5,1,5,23,NA,NA
9047,2,realblock,6,4,0,4,27,NA,NA
9047,2,realblock,7,6,0,6,33,NA,NA
9047,2,realblock,8,4,0,4,37,NA,NA
9047,2,realblock,9,7,0,5,42,NA,NA
9047,2,realblock,10,3,0,3,45,NA,NA
9048,2,realblock,1,4,0,4,4,NA,NA
9048,2,realblock,2,5,1,5,9,NA,NA
9048,2,realblock,3,7,1,5,14,NA,NA
9048,2,realblock,4,6,1,1,15,NA,NA
9048,2,realblock,5,5,2,5,20,NA,NA
9048,2,realblock,6,7,0,7,27,NA,NA
9048,2,realblock,7,4,0,4,31,NA,NA
9048,2,realblock,8,3,1,2,33,NA,NA
9048,2,realblock,9,6,0,6,39,NA,NA
9048,2,realblock,10,3,0,3,42,NA,NA
9049,2,realblock,1,5,0,5,5,NA,NA
9049,2,realblock,2,5,1,5,10,NA,NA
9049,2,realblock,3,4,2,2,12,NA,NA
9049,2,realblock,4,3,0,2,14,NA,NA
9049,2,realblock,5,7,0,7,21,NA,NA
9049,2,realblock,6,3,1,3,24,NA,NA
9049,2,realblock,7,7,0,7,31,NA,NA
9049,2,realblock,8,6,0,6,37,NA,NA
9049,2,realblock,9,6,1,5,42,NA,NA
9049,2,realblock,10,4,1,3,45,NA,NA
9050,2,realblock,1,6,0,6,6,NA,NA
9050,2,realblock,2,7,1,6,12,NA,NA
9050,2,realblock,3,5,0,5,17,NA,NA
9050,2,realblock,4,7,0,6,23,NA,NA
9050,2,realblock,5,4,0,4,27,NA,NA
9050,2,realblock,6,4,0,4,31,NA,NA
9050,2,realblock,7,5,1,0,31,NA,NA
9050,2,realblock,8,6,0,6,37,NA,NA
9050,2,realblock,9,3,0,3,40,NA,NA
9050,2,realblock,10,3,0,3,43,NA,NA
9051,2,realblock,1,3,0,3,3,NA,NA
9051,2,realblock,2,7,0,7,10,NA,NA
9051,2,realblock,3,4,0,4,14,NA,NA
9051,2,realblock,4,5,1,5,19,NA,NA
9051,2,realblock,5,6,0,5,24,NA,NA
9051,2,realblock,6,3,0,3,27,NA,NA
9051,2,realblock,7,4,0,4,31,NA,NA
9051,2,realblock,8,5,0,5,36,NA,NA
9051,2,realblock,9,6,0,4,40,NA,NA
9051,2,realblock,10,7,0,7,47,NA,NA
9052,2,realblock,1,4,0,4,4,NA,NA
9052,2,realblock,2,7,1,6,10,NA,NA
9052,2,realblock,3,5,1,2,12,NA,NA
9052,2,realblock,4,6,1,5,17,NA,NA
9052,2,realblock,5,3,0,3,20,NA,NA
9052,2,realblock,6,7,0,7,27,NA,NA
9052,2,realblock,7,6,1,3,30,NA,NA
9052,2,realblock,8,3,1,1,31,NA,NA
9052,2,realblock,9,4,4,0,31,NA,NA
9052,2,realblock,10,5,3,2,33,NA,NA
9053,2,realblock,1,3,1,3,3,NA,NA
9053,2,realblock,2,4,1,4,7,NA,NA
9053,2,realblock,3,5,0,3,10,NA,NA
9053,2,realblock,4,4,1,3,13,NA,NA
9053,2,realblock,5,7,2,4,17,NA,NA
9053,2,realblock,6,6,0,2,19,NA,NA
9053,2,realblock,7,7,0,3,22,NA,NA
9053,2,realblock,8,5,2,3,25,NA,NA
9053,2,realblock,9,6,1,4,29,NA,NA
9053,2,realblock,10,3,0,3,32,NA,NA
9054,2,realblock,1,5,0,5,5,NA,NA
9054,2,realblock,2,6,0,6,11,NA,NA
9054,2,realblock,3,3,0,3,14,NA,NA
9054,2,realblock,4,5,0,5,19,NA,NA
9054,2,realblock,5,7,2,1,20,NA,NA
9054,2,realblock,6,4,2,2,22,NA,NA
9054,2,realblock,7,3,0,3,25,NA,NA
9054,2,realblock,8,4,0,4,29,NA,NA
9054,2,realblock,9,6,2,2,31,NA,NA
9054,2,realblock,10,7,0,6,37,NA,NA
9055,2,realblock,1,5,0,5,5,NA,NA
9055,2,realblock,2,7,0,7,12,NA,NA
9055,2,realblock,3,3,0,3,15,NA,NA
9055,2,realblock,4,5,0,5,20,NA,NA
9055,2,realblock,5,4,1,4,24,NA,NA
9055,2,realblock,6,7,1,4,28,NA,NA
9055,2,realblock,7,6,1,6,34,NA,NA
9055,2,realblock,8,6,0,6,40,NA,NA
9055,2,realblock,9,4,0,4,44,NA,NA
