subject,session,date,time,condition,block,sub_block,trial,subtrial,rt,acc
9006,1,10/11/22,09:22,random,3,1,30,10,397.1518,1
9006,1,10/11/22,09:22,random,4,1,31,1,590.3111,1
9006,1,10/11/22,09:22,random,4,1,32,2,625.5933,1
9006,1,10/11/22,09:22,random,4,1,33,3,593.6661,1
9006,1,10/11/22,09:22,random,4,1,34,4,665.0559,1
9006,1,10/11/22,09:22,random,4,1,35,5,729.8393,1
9006,1,10/11/22,09:22,random,4,1,36,6,537.9943,1
9006,1,10/11/22,09:22,random,4,1,37,7,648.4309,0
9006,1,10/11/22,09:22,random,4,1,38,8,424.1697,0
9006,1,10/11/22,09:22,random,4,1,39,9,366.6052,1
9006,1,10/11/22,09:22,random,4,1,40,10,419.485,1
9006,1,10/11/22,09:22,random,5,1,41,1,670.3548,1
9006,1,10/11/22,09:22,random,5,1,42,2,706.7878,1
9006,1,10/11/22,09:22,random,5,1,43,3,608.7036,1
9006,1,10/11/22,09:22,random,5,1,44,4,702.5671,1
9006,1,10/11/22,09:22,random,5,1,45,5,516.5535,1
9006,1,10/11/22,09:22,random,5,1,46,6,525.1242,1
9006,1,10/11/22,09:22,random,5,1,47,7,552.4869,1
9006,1,10/11/22,09:22,random,5,1,48,8,409.6507,1
9006,1,10/11/22,09:22,random,5,1,49,9,430.1487,1
9006,1,10/11/22,09:22,random,5,1,50,10,469.8587,1
9007,1,10/11/22,09:31,practice,0,1,1,1,451.5823,1
9007,1,10/11/22,09:31,practice,0,1,2,2,435.3996,1
9007,1,10/11/22,09:31,practice,0,1,3,3,315.017,1
9007,1,10/11/22,09:31,practice,0,1,4,4,400.696,1
9007,1,10/11/22,09:31,practice,0,1,5,5,360.137,1
9007,1,10/11/22,09:31,practice,0,1,6,6,334.1219,1
9007,1,10/11/22,09:31,practice,0,1,7,7,357.5128,1
9007,1,10/11/22,09:31,practice,0,1,8,8,392.6495,1
9007,1,10/11/22,09:31,random,1,1,1,1,372.0317,1
9007,1,10/11/22,09:31,random,1,1,2,2,315.2409,1
9007,1,10/11/22,09:31,random,1,1,3,3,355.0926,1
9007,1,10/11/22,09:31,random,1,1,4,4,369.9026,1
9007,1,10/11/22,09:31,random,1,1,5,5,360.6051,1
9007,1,10/11/22,09:31,random,1,1,6,6,398.7457,1
9007,1,10/11/22,09:31,random,1,1,7,7,348.3836,1
9007,1,10/11/22,09:31,random,1,1,8,8,371.9563,1
9007,1,10/11/22,09:31,random,1,1,9,9,383.3053,1
9007,1,10/11/22,09:31,random,1,1,10,10,386.7204,1
9007,1,10/11/22,09:31,random,2,1,11,1,342.857,1
9007,1,10/11/22,09:31,random,2,1,12,2,356.2846,1
9007,1,10/11/22,09:31,random,2,1,13,3,372.718,1
9007,1,10/11/22,09:31,random,2,1,14,4,396.9997,1
9007,1,10/11/22,09:31,random,2,1,15,5,360.6726,1
9007,1,10/11/22,09:31,random,2,1,16,6,340.9333,1
9007,1,10/11/22,09:31,random,2,1,17,7,375,1
9007,1,10/11/22,09:31,random,2,1,18,8,401.9202,1
9007,1,10/11/22,09:31,random,2,1,19,9,406.074,0
9007,1,10/11/22,09:31,random,2,1,20,10,454.0921,1
9007,1,10/11/22,09:31,random,3,1,21,1,414.1424,1
9007,1,10/11/22,09:31,random,3,1,22,2,533.8167,1
9007,1,10/11/22,09:31,random,3,1,23,3,384.6569,1
9007,1,10/11/22,09:31,random,3,1,24,4,414.2532,1
9007,1,10/11/22,09:31,random,3,1,25,5,368.8595,1
9007,1,10/11/22,09:31,random,3,1,26,6,388.1977,0
9007,1,10/11/22,09:31,random,3,1,27,7,623.0012,1
9007,1,10/11/22,09:31,random,3,1,28,8,395.5163,1
9007,1,10/11/22,09:31,random,3,1,29,9,548.7908,1
9007,1,10/11/22,09:31,random,3,1,30,10,413.7742,1
9007,1,10/11/22,09:31,random,4,1,31,1,484.0914,1
9007,1,10/11/22,09:31,random,4,1,32,2,519.9785,1
9007,1,10/11/22,09:31,random,4,1,33,3,438.3073,1
9007,1,10/11/22,09:31,random,4,1,34,4,463.2015,1
9007,1,10/11/22,09:31,random,4,1,35,5,432.6903,1
9007,1,10/11/22,09:31,random,4,1,36,6,386.3494,1
9007,1,10/11/22,09:31,random,4,1,37,7,453.5664,1
9007,1,10/11/22,09:31,random,4,1,38,8,429.0534,1
9007,1,10/11/22,09:31,random,4,1,39,9,422.9769,1
9007,1,10/11/22,09:31,random,4,1,40,10,418.3961,1
9007,1,10/11/22,09:31,random,5,1,41,1,407.4263,1
9007,1,10/11/22,09:31,random,5,1,42,2,647.9557,1
9007,1,10/11/22,09:31,random,5,1,43,3,501.8828,1
9007,1,10/11/22,09:31,random,5,1,44,4,463.627,1
9007,1,10/11/22,09:31,random,5,1,45,5,443.386,1
9007,1,10/11/22,09:31,random,5,1,46,6,459.4933,1
9007,1,10/11/22,09:31,random,5,1,47,7,516.0831,1
9007,1,10/11/22,09:31,random,5,1,48,8,499.8271,1
9007,1,10/11/22,09:31,random,5,1,49,9,440.1332,1
9007,1,10/11/22,09:31,random,5,1,50,10,584.5142,1
9009,1,10/11/22,12:29,practice,0,1,1,1,434.9502,0
9009,1,10/11/22,12:29,practice,0,1,2,2,564.3173,1
9009,1,10/11/22,12:29,practice,0,1,3,3,558.7391,1
9009,1,10/11/22,12:29,practice,0,1,4,4,510.5714,1
9009,1,10/11/22,12:29,practice,0,1,5,5,519.362,0
9009,1,10/11/22,12:29,practice,0,1,6,6,647.6831,1
9009,1,10/11/22,12:29,practice,0,1,7,7,555.2142,1
9009,1,10/11/22,12:29,practice,0,1,8,8,561.3341,1
9009,1,10/11/22,12:29,random,1,1,1,1,514.3249,1
9009,1,10/11/22,12:29,random,1,1,2,2,542.6482,1
9009,1,10/11/22,12:29,random,1,1,3,3,350.7057,1
9009,1,10/11/22,12:29,random,1,1,4,4,486.4157,1
9009,1,10/11/22,12:29,random,1,1,5,5,331.5451,1
9009,1,10/11/22,12:29,random,1,1,6,6,367.8396,1
9009,1,10/11/22,12:29,random,1,1,7,7,542.8869,1
9009,1,10/11/22,12:29,random,1,1,8,8,413.7239,1
9009,1,10/11/22,12:29,random,1,1,9,9,446.7037,1
9009,1,10/11/22,12:29,random,1,1,10,10,339.5307,1
9009,1,10/11/22,12:29,random,2,1,11,1,351.7898,1
9009,1,10/11/22,12:29,random,2,1,12,2,274.1714,1
9009,1,10/11/22,12:29,random,2,1,13,3,333.2317,1
9009,1,10/11/22,12:29,random,2,1,14,4,380.1093,1
9009,1,10/11/22,12:29,random,2,1,15,5,363.5875,1
9009,1,10/11/22,12:29,random,2,1,16,6,497.2341,1
9009,1,10/11/22,12:29,random,2,1,17,7,519.5671,1
