subject,session,date,time,screen_size,block,trial,trial_type,set_size,resp,acc,rt,proberesp,probresp
9004,2,10/17/2022,13:53,"(1600, 900)",real,60,no-change,6,f,1,1526.0857,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",practice,0,no-change,6,f,1,1138.3651,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",practice,0,no-change,6,f,1,746.4111,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",practice,0,no-change,6,f,1,707.4959,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",practice,0,change,6,f,0,682.4187,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",practice,0,change,6,f,0,748.8155,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",practice,0,change,6,f,0,606.5537,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,1,change,6,j,1,2220.3409,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,2,no-change,6,f,1,967.9179,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,3,no-change,6,f,1,724.1517,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,4,no-change,6,f,1,785.0242,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,5,change,6,f,0,3291.6859,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,6,no-change,6,f,1,826.2042,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,7,change,6,j,1,3120.2659,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,8,change,6,f,0,3537.3143,2,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,9,change,6,f,0,2075.3566,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,10,no-change,6,f,1,1603.9378,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,11,change,6,j,1,1339.0754,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,12,change,6,j,1,1570.0022,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,13,no-change,6,f,1,1498.7254,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,14,change,6,j,1,1852.3908,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,15,no-change,6,f,1,1680.3697,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,16,no-change,6,f,1,1733.5606,1,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,17,change,6,f,0,1606.0349,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,18,change,6,j,1,1365.2228,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,19,no-change,6,f,1,876.1918,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,20,change,6,j,1,1789.6235,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,21,no-change,6,f,1,1654.1147,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,22,no-change,6,f,1,1034.013,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,23,no-change,6,f,1,1854.5071,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,24,change,6,f,0,741.8669,1,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,25,change,6,j,1,1310.8203,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,26,change,6,j,1,1419.0749,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,27,change,6,j,1,1403.8993,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,28,change,6,f,0,2902.9946,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,29,no-change,6,j,0,1283.3774,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,30,change,6,j,1,943.1879,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,31,change,6,j,1,893.816,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,32,no-change,6,j,0,1030.4764,5,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,33,change,6,j,1,1093.7594,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,34,change,6,j,1,1131.8748,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,35,no-change,6,f,1,1207.1759,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,36,no-change,6,f,1,1846.5868,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,37,no-change,6,f,1,1157.706,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,38,no-change,6,f,1,643.417,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,39,no-change,6,f,1,1177.9963,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,40,change,6,f,0,835.4761,5,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,41,change,6,j,1,1415.1567,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,42,no-change,6,f,1,1130.5478,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,43,no-change,6,f,1,1203.2128,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,44,no-change,6,f,1,813.135,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,45,no-change,6,f,1,1514.3821,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,46,no-change,6,f,1,775.3957,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,47,change,6,j,1,2229.9781,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,48,change,6,j,1,3669.4996,1,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,49,change,6,j,1,1308.8739,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,50,change,6,j,1,1982.7193,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,51,no-change,6,f,1,1394.8323,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,52,change,6,j,1,1749.6123,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,53,no-change,6,f,1,2057.5575,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,54,no-change,6,j,0,2298.6044,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,55,no-change,6,f,1,1903.0626,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,56,no-change,6,f,1,1658.0968,2,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,57,no-change,6,j,0,2886.8004,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,58,change,6,f,0,959.9709,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,59,change,6,j,1,1240.4402,NA,NA
9005,2,10/17/2022,12:43,"(1600, 900)",real,60,change,6,j,1,1488.6307,NA,NA
9006,2,10/18/2022,9:51,"(1600, 900)",practice,0,no-change,6,f,1,434.9938,NA,NA
9006,2,10/18/2022,9:51,"(1600, 900)",practice,0,change,6,j,1,2132.825,NA,NA
9006,2,10/18/2022,9:51,"(1600, 900)",practice,0,no-change,6,f,1,1735.1667,NA,NA
9006,2,10/18/2022,9:51,"(1600, 900)",practice,0,change,6,j,1,1799.9606,NA,NA
9006,2,10/18/2022,9:51,"(1600, 900)",practice,0,change,6,f,0,2265.5115,NA,NA
9006,2,10/18/2022,9:51,"(1600, 900)",practice,0,no-change,6,j,0,1067.2576,NA,NA
9006,2,10/18/2022,9:51,"(1600, 900)",real,1,no-change,6,f,1,514.4031,NA,NA
9006,2,10/18/2022,9:51,"(1600, 900)",real,2,change,6,j,1,1261.5976,NA,NA
9006,2,10/18/2022,9:51,"(1600, 900)",real,3,no-change,6,f,1,803.6739,NA,NA
