subject,session,list,setsize,senterrors,lettertotal,rspantotal
9078,2,9,7,0,5,40
9078,2,10,3,0,3,43
9079,2,1,3,0,3,3
9079,2,2,6,0,6,9
9079,2,3,5,0,5,14
9079,2,4,7,1,7,21
9079,2,5,7,0,7,28
9079,2,6,3,0,3,31
9079,2,7,5,2,5,36
9079,2,8,4,0,4,40
9079,2,9,6,1,6,46
9079,2,10,4,1,4,50
9080,2,1,5,1,5,5
9080,2,2,7,0,3,8
9080,2,3,4,0,4,12
9080,2,4,6,1,1,13
9080,2,5,6,0,5,18
9080,2,6,4,0,4,22
9080,2,7,3,0,2,24
9080,2,8,5,0,4,28
9080,2,9,7,1,4,32
9080,2,10,3,0,3,35
9081,2,1,5,1,5,5
9081,2,2,4,1,4,9
9081,2,3,5,0,5,14
9081,2,4,4,0,4,18
9081,2,5,7,3,4,22
9081,2,6,6,0,2,24
9081,2,7,7,0,2,26
9081,2,8,6,0,2,28
9081,2,9,3,1,3,31
9081,2,10,3,0,3,34
9082,2,1,7,1,4,4
9082,2,2,6,0,2,6
9082,2,3,6,1,6,12
9082,2,4,5,1,5,17
9082,2,5,4,1,4,21
9082,2,6,3,0,3,24
9082,2,7,7,1,1,25
9082,2,8,5,0,2,27
9082,2,9,4,1,3,30
9082,2,10,3,0,2,32
9083,2,1,3,0,3,3
9083,2,2,5,0,5,8
9083,2,3,4,0,4,12
9083,2,4,7,1,7,19
9083,2,5,4,0,4,23
9083,2,6,6,0,6,29
9083,2,7,7,0,7,36
9083,2,8,5,0,5,41
9083,2,9,6,3,6,47
9083,2,10,3,0,3,50
9084,2,1,7,0,0,0
9084,2,2,4,1,4,4
9084,2,3,6,0,2,6
9084,2,4,6,1,3,9
9084,2,5,5,0,3,12
9084,2,6,3,0,3,15
9084,2,7,7,0,3,18
9084,2,8,4,0,4,22
9084,2,9,3,0,3,25
9084,2,10,5,0,4,29
9085,2,1,4,0,4,4
9085,2,2,7,2,5,9
9085,2,3,7,2,5,14
9085,2,4,4,1,4,18
9085,2,5,6,2,6,24
9085,2,6,5,1,5,29
