subject,session,date,time,block,trial,delay,acc,rt,target_side,V11,V12
9005,2,10/17/22,12:25,slow_practice,2,2000,0,1386.788,right,NA,
9005,2,10/17/22,12:25,slow_practice,3,3000,1,1127.7534,left,NA,
9005,2,10/17/22,12:25,slow_practice,4,3000,1,824.1291,left,NA,
9005,2,10/17/22,12:25,slow_practice,5,3000,1,825.0274,left,NA,
9005,2,10/17/22,12:25,slow_practice,6,3000,1,1156.0664,right,NA,
9005,2,10/17/22,12:25,slow_practice,7,3000,1,948.8521,right,NA,
9005,2,10/17/22,12:25,slow_practice,8,3000,1,801.2416,right,NA,
9005,2,10/17/22,12:25,fast_practice,1,2000,1,810.8823,,NA,left
9005,2,10/17/22,12:25,fast_practice,2,2000,1,835.5911,,NA,right
9005,2,10/17/22,12:25,fast_practice,3,2000,1,849.3456,,NA,left
9005,2,10/17/22,12:25,fast_practice,4,3000,0,695.4089,,NA,left
9005,2,10/17/22,12:25,fast_practice,5,3000,0,670.9725,,NA,left
9005,2,10/17/22,12:25,fast_practice,6,3000,0,791.159,,NA,right
9005,2,10/17/22,12:25,fast_practice,7,2000,0,713.3974,,NA,right
9005,2,10/17/22,12:25,fast_practice,8,2000,0,648.7451,,NA,right
9005,2,10/17/22,12:25,fast_practice,9,2000,1,761.4124,,NA,left
9005,2,10/17/22,12:25,fast_practice,10,2000,0,1974.2021,,NA,left
9005,2,10/17/22,12:25,fast_practice,11,2000,1,886.1049,,NA,left
9005,2,10/17/22,12:25,fast_practice,12,2000,0,648.347,,NA,left
9005,2,10/17/22,12:25,fast_practice,13,2000,1,746.9741,,NA,left
9005,2,10/17/22,12:25,fast_practice,14,2000,0,1050.8432,,NA,left
9005,2,10/17/22,12:25,fast_practice,15,3000,1,760.3454,,NA,left
9005,2,10/17/22,12:25,fast_practice,16,3000,1,1360.291,,NA,right
9005,2,10/17/22,12:25,antisaccade,1,3000,1,838.1305,left,NA,
9005,2,10/17/22,12:25,antisaccade,2,3000,0,1268.4188,right,NA,
9005,2,10/17/22,12:25,antisaccade,3,3000,0,1388.3497,left,NA,
9005,2,10/17/22,12:25,antisaccade,4,3000,0,1745.9252,left,NA,
9005,2,10/17/22,12:25,antisaccade,5,3000,0,1657.3264,left,NA,
9005,2,10/17/22,12:25,antisaccade,6,3000,1,2125.2298,right,NA,
9005,2,10/17/22,12:25,antisaccade,7,3000,1,824.5618,left,NA,
9005,2,10/17/22,12:25,antisaccade,8,3000,1,778.2074,left,NA,
9005,2,10/17/22,12:25,antisaccade,9,2000,1,1244.0616,right,NA,
9005,2,10/17/22,12:25,antisaccade,10,3000,0,1277.1505,right,NA,
9005,2,10/17/22,12:25,antisaccade,11,2000,1,1371.9303,right,NA,
9005,2,10/17/22,12:25,antisaccade,12,2000,1,1019.2126,right,NA,
9005,2,10/17/22,12:25,antisaccade,13,3000,1,1076.7563,left,NA,
9005,2,10/17/22,12:25,antisaccade,14,3000,0,988.7081,left,NA,
9005,2,10/17/22,12:25,antisaccade,15,2000,1,764.9041,left,NA,
9005,2,10/17/22,12:25,antisaccade,16,3000,1,1151.7086,right,NA,
9005,2,10/17/22,12:25,antisaccade,17,2000,0,1354.3339,right,NA,
9005,2,10/17/22,12:25,antisaccade,18,3000,1,516.4072,left,NA,
9005,2,10/17/22,12:25,antisaccade,19,3000,0,840.3101,left,NA,
9005,2,10/17/22,12:25,antisaccade,20,2000,0,1000.1957,right,NA,
9005,2,10/17/22,12:25,antisaccade,21,2000,1,539.6122,left,NA,
9005,2,10/17/22,12:25,antisaccade,22,3000,1,689.7216,left,NA,
9005,2,10/17/22,12:25,antisaccade,23,2000,1,602.8684,left,NA,
9005,2,10/17/22,12:25,antisaccade,24,2000,1,509.9419,left,NA,
9005,2,10/17/22,12:25,antisaccade,25,3000,1,583.3925,left,NA,
9005,2,10/17/22,12:25,antisaccade,26,3000,1,605.232,left,NA,
9005,2,10/17/22,12:25,antisaccade,27,3000,1,748.3169,right,NA,
9005,2,10/17/22,12:25,antisaccade,28,3000,1,583.2189,left,NA,
9005,2,10/17/22,12:25,antisaccade,29,2000,1,784.1287,right,NA,
9005,2,10/17/22,12:25,antisaccade,30,3000,1,628.7137,right,NA,
9005,2,10/17/22,12:25,antisaccade,31,2000,0,1065.4657,right,NA,
9005,2,10/17/22,12:25,antisaccade,32,2000,1,679.4436,left,NA,
9005,2,10/17/22,12:25,antisaccade,33,3000,0,1001.1486,right,NA,
9005,2,10/17/22,12:25,antisaccade,34,2000,0,1098.3459,left,NA,
9005,2,10/17/22,12:25,antisaccade,35,3000,1,885.893,right,NA,
9005,2,10/17/22,12:25,antisaccade,36,2000,1,680.1081,right,NA,
9005,2,10/17/22,12:25,antisaccade,37,3000,1,611.5273,right,NA,
9005,2,10/17/22,12:25,antisaccade,38,2000,1,445.9122,right,NA,
9005,2,10/17/22,12:25,antisaccade,39,3000,1,408.6117,right,NA,
9005,2,10/17/22,12:25,antisaccade,40,3000,1,383.1707,right,NA,
9005,2,10/17/22,12:25,antisaccade,41,3000,1,1450.674,left,NA,
9005,2,10/17/22,12:25,antisaccade,42,2000,1,1217.1452,right,NA,
9005,2,10/17/22,12:25,antisaccade,43,2000,0,716.2221,left,NA,
9005,2,10/17/22,12:25,antisaccade,44,2000,1,626.939,left,NA,
9005,2,10/17/22,12:25,antisaccade,45,2000,1,607.8825,left,NA,
9005,2,10/17/22,12:25,antisaccade,46,2000,1,405.8504,left,NA,
9005,2,10/17/22,12:25,antisaccade,47,2000,1,595.0373,left,NA,
9005,2,10/17/22,12:25,antisaccade,48,2000,1,645.3303,left,NA,
9005,2,10/17/22,12:25,antisaccade,49,3000,1,613.0079,left,NA,
9005,2,10/17/22,12:25,antisaccade,50,2000,1,1266.4553,right,NA,
9005,2,10/17/22,12:25,antisaccade,51,3000,1,1046.1673,left,NA,
9005,2,10/17/22,12:25,antisaccade,52,2000,1,1273.4603,left,NA,
9005,2,10/17/22,12:25,antisaccade,53,2000,1,905.5991,right,NA,
9005,2,10/17/22,12:25,antisaccade,54,2000,1,675.6514,right,NA,
9005,2,10/17/22,12:25,antisaccade,55,3000,1,579.1487,right,NA,
9005,2,10/17/22,12:25,antisaccade,56,3000,1,726.7271,right,NA,
9005,2,10/17/22,12:25,antisaccade,57,2000,1,704.8532,right,NA,
9005,2,10/17/22,12:25,antisaccade,58,3000,0,1622.7601,left,NA,
9005,2,10/17/22,12:25,antisaccade,59,3000,1,693.1754,left,NA,
9005,2,10/17/22,12:25,antisaccade,60,3000,0,1476.4059,right,NA,
9006,2,10/18/22,09:33,slow_practice,1,3000,1,1635.4032,left,NA,
9006,2,10/18/22,09:33,slow_practice,2,2000,0,560.2938,left,NA,
9006,2,10/18/22,09:33,slow_practice,3,3000,1,798.9098,left,NA,
9006,2,10/18/22,09:33,slow_practice,4,3000,1,1655.8595,right,NA,
9006,2,10/18/22,09:33,slow_practice,5,3000,1,706.3016,left,NA,
9006,2,10/18/22,09:33,slow_practice,6,3000,0,1010.9825,right,NA,
9006,2,10/18/22,09:33,slow_practice,7,3000,0,563.0357,left,NA,
9006,2,10/18/22,09:33,slow_practice,8,2000,0,1461.5372,right,NA,
9006,2,10/18/22,09:33,fast_practice,1,2000,1,1183.133,,NA,right
9006,2,10/18/22,09:33,fast_practice,2,3000,0,1499.99,,NA,right
9006,2,10/18/22,09:33,fast_practice,3,2000,1,1097.3228,,NA,left
9006,2,10/18/22,09:33,fast_practice,4,2000,1,1016.1653,,NA,left
9006,2,10/18/22,09:33,fast_practice,5,3000,1,798.1044,,NA,right
9006,2,10/18/22,09:33,fast_practice,6,3000,0,776.3505,,NA,left
9006,2,10/18/22,09:33,fast_practice,7,3000,1,685.2107,,NA,right
9006,2,10/18/22,09:33,fast_practice,8,2000,0,918.1162,,NA,right
9006,2,10/18/22,09:33,fast_practice,9,2000,1,860.852,,NA,left
9006,2,10/18/22,09:33,fast_practice,10,3000,0,626.5029,,NA,right
