subject,session,date,time,item,acc,rt
9160,1,09/13/23,15:28,4,1,18711.3815
9160,1,09/13/23,15:28,5,0,34188.703
9160,1,09/13/23,15:28,6,1,23801.7158
9160,1,09/13/23,15:28,7,1,23589.4903
9160,1,09/13/23,15:28,8,1,9882.6512
9160,1,09/13/23,15:28,9,1,11339.3434
9160,1,09/13/23,15:28,10,1,40907.0228
9160,1,09/13/23,15:28,11,0,51336.8894
9160,1,09/13/23,15:28,12,1,33695.7399
9160,1,09/13/23,15:28,13,0,63070.4862
9160,1,09/13/23,15:28,14,1,45512.8982
9160,1,09/13/23,15:28,15,0,50808.4382
9160,1,09/13/23,15:28,16,1,132687.6457
9160,1,09/13/23,15:28,17,1,46602.8864
9161,1,09/14/23,09:39,1,1,16568.7427
9161,1,09/14/23,09:39,2,1,9746.5626
9161,1,09/14/23,09:39,3,1,8557.5984
9161,1,09/14/23,09:39,4,1,8246.8566
9161,1,09/14/23,09:39,5,1,19136.3056
9161,1,09/14/23,09:39,6,1,13423.719
9161,1,09/14/23,09:39,7,1,13849.1229
9161,1,09/14/23,09:39,8,0,26833.6802
9161,1,09/14/23,09:39,9,1,83666.7462
9161,1,09/14/23,09:39,10,1,17609.0344
9161,1,09/14/23,09:39,11,1,28180.1302
9161,1,09/14/23,09:39,12,0,70881.7925
9161,1,09/14/23,09:39,13,1,54154.5055
9161,1,09/14/23,09:39,14,0,52644.3671
9161,1,09/14/23,09:39,15,0,13756.022
9161,1,09/14/23,09:39,16,0,142672.3364
9161,1,09/14/23,09:39,17,0,45190.9269
9162,1,09/14/23,09:41,1,1,49501.7715
9162,1,09/14/23,09:41,2,1,23106.4984
9162,1,09/14/23,09:41,3,1,18601.1148
9162,1,09/14/23,09:41,4,1,28027.0523
9162,1,09/14/23,09:41,5,1,19076.818
9162,1,09/14/23,09:41,6,1,35026.9408
9162,1,09/14/23,09:41,7,1,27453.6822
9162,1,09/14/23,09:41,8,1,51182.772
9162,1,09/14/23,09:41,9,1,17422.0035
9162,1,09/14/23,09:41,10,1,17587.8387
9162,1,09/14/23,09:41,11,0,105466.6146
9162,1,09/14/23,09:41,12,0,53057.8647
9162,1,09/14/23,09:41,13,0,48091.4554
9162,1,09/14/23,09:41,14,0,41872.9579
9162,1,09/14/23,09:41,15,0,31280.9568
9162,1,09/14/23,09:41,16,0,29580.4256
9162,1,09/14/23,09:41,17,0,53089.1404
9163,1,09/14/23,09:56,1,1,9701.6523
9163,1,09/14/23,09:56,2,1,8453.7189
9163,1,09/14/23,09:56,3,1,7519.9408
9163,1,09/14/23,09:56,4,1,28811.2958
9163,1,09/14/23,09:56,5,1,37441.2005
9163,1,09/14/23,09:56,6,1,15931.1758
9163,1,09/14/23,09:56,7,0,35738.0288
9163,1,09/14/23,09:56,8,1,26880.7128
9163,1,09/14/23,09:56,9,1,8534.0301
9163,1,09/14/23,09:56,10,1,24389.0341
9163,1,09/14/23,09:56,11,0,18010.2889
9163,1,09/14/23,09:56,12,0,32635.7958
9163,1,09/14/23,09:56,13,0,15559.4399
9163,1,09/14/23,09:56,14,0,50446.132
9163,1,09/14/23,09:56,15,0,31606.7941
9163,1,09/14/23,09:56,16,0,23838.6773
9163,1,09/14/23,09:56,17,0,89701.6303
9163,1,09/14/23,09:56,18,0,0.211299999966
9164,1,09/14/23,12:14,1,0,17670.0861
9164,1,09/14/23,12:14,2,0,13971.7816
9164,1,09/14/23,12:14,3,0,13643.2393
9164,1,09/14/23,12:14,4,0,17121.8953
9164,1,09/14/23,12:14,5,1,4778.5509
9164,1,09/14/23,12:14,6,1,19508.5867
9164,1,09/14/23,12:14,7,0,9127.632
9164,1,09/14/23,12:14,8,0,5891.144
9164,1,09/14/23,12:14,9,1,11072.788
9164,1,09/14/23,12:14,10,1,20416.8853
9164,1,09/14/23,12:14,11,0,7017.2892
9164,1,09/14/23,12:14,12,0,4444.4018
9164,1,09/14/23,12:14,13,0,12398.5816
9164,1,09/14/23,12:14,14,0,8095.1749
9164,1,09/14/23,12:14,15,0,8138.046
9164,1,09/14/23,12:14,16,0,9411.2153
9164,1,09/14/23,12:14,17,0,12726.7585
9164,1,09/14/23,12:14,18,0,2992.3912
9165,1,09/14/23,12:19,1,1,15628.8663
9165,1,09/14/23,12:19,2,1,16304.7613
9165,1,09/14/23,12:19,3,1,19726.8054
9165,1,09/14/23,12:19,4,0,23669.1375
9165,1,09/14/23,12:19,5,0,30157.706
9165,1,09/14/23,12:19,6,0,51681.5102
9165,1,09/14/23,12:19,7,0,45723.1407
9165,1,09/14/23,12:19,8,0,22124.4808
9165,1,09/14/23,12:19,9,1,20519.7155
9165,1,09/14/23,12:19,10,1,31883.9392
9165,1,09/14/23,12:19,11,0,37800.6393
9165,1,09/14/23,12:19,12,0,72821.0933
9165,1,09/14/23,12:19,13,1,35346.2366
9165,1,09/14/23,12:19,14,0,37657.1097
9165,1,09/14/23,12:19,15,0,45021.3591
9165,1,09/14/23,12:19,16,0,25658.6785
9165,1,09/14/23,12:19,17,0,67685.7419
9166,1,09/14/23,12:27,1,1,23476.2592
9166,1,09/14/23,12:27,2,1,31898.3571
9166,1,09/14/23,12:27,3,1,26842.0238
9166,1,09/14/23,12:27,4,1,18937.5105
9166,1,09/14/23,12:27,5,1,18276.7766
9166,1,09/14/23,12:27,6,1,48960.7414
9166,1,09/14/23,12:27,7,0,35008.0472
9166,1,09/14/23,12:27,8,0,28449.6912
9166,1,09/14/23,12:27,9,0,67615.8829
9166,1,09/14/23,12:27,10,1,17448.3754
9166,1,09/14/23,12:27,11,0,49472.2485
9166,1,09/14/23,12:27,12,0,59039.7162
9166,1,09/14/23,12:27,13,0,37049.7924
9166,1,09/14/23,12:27,14,0,15936.2356
9166,1,09/14/23,12:27,15,0,23519.7537
9166,1,09/14/23,12:27,16,0,99886.5921
9167,1,09/14/23,15:29,1,1,31988.2839
9167,1,09/14/23,15:29,2,1,12091.1711
9167,1,09/14/23,15:29,3,1,12896.3624
9167,1,09/14/23,15:29,4,0,32470.1436
9167,1,09/14/23,15:29,5,1,41318.0142
9167,1,09/14/23,15:29,6,0,24558.0502
9167,1,09/14/23,15:29,7,1,50393.5055
9167,1,09/14/23,15:29,8,0,18618.5466
9167,1,09/14/23,15:29,9,1,14199.0352
9167,1,09/14/23,15:29,10,1,17565.4801
9167,1,09/14/23,15:29,11,1,18729.4135
9167,1,09/14/23,15:29,12,1,27239.5891
9167,1,09/14/23,15:29,13,0,25357.1054
9167,1,09/14/23,15:29,14,0,13880.7964
9167,1,09/14/23,15:29,15,0,71648.4888
9167,1,09/14/23,15:29,16,0,41885.5549
9167,1,09/14/23,15:29,17,0,16871.6312
9167,1,09/14/23,15:29,18,1,18804.5083
9168,1,09/14/23,15:31,1,1,11424.7013
9168,1,09/14/23,15:31,2,1,14649.5294
9168,1,09/14/23,15:31,3,0,21792.1265
9168,1,09/14/23,15:31,4,1,24563.803
9168,1,09/14/23,15:31,5,1,34799.2414
9168,1,09/14/23,15:31,6,0,15086.1055
9168,1,09/14/23,15:31,7,0,23537.9172
9168,1,09/14/23,15:31,8,1,55871.6826
9168,1,09/14/23,15:31,9,0,14235.3662
9168,1,09/14/23,15:31,10,0,45959.5073
9168,1,09/14/23,15:31,11,1,84843.5904
9168,1,09/14/23,15:31,12,0,40571.4933
