sub session blk trl stim cond acc rt
11 1 4 126 1 2 1 0.35109
11 1 4 129 2 1 1 0.37005
11 1 4 130 1 1 1 0.35885
11 1 4 131 1 2 1 0.48947
11 1 4 133 2 2 1 0.4599
11 1 4 134 1 2 1 0.42413
11 1 4 135 1 1 1 0.43087
11 1 4 136 1 1 1 0.61204
11 1 4 138 2 1 1 0.43125
11 1 4 139 1 2 1 0.58756
11 1 4 140 2 1 1 0.4688
11 1 4 143 2 2 1 0.44962
11 1 5 11 1 2 1 0.48615
11 1 5 12 1 1 1 0.42024
11 1 5 13 1 2 1 0.46459
11 1 5 17 1 2 1 0.41794
11 1 5 18 2 1 1 0.39896
11 1 5 19 2 2 1 0.53038
11 1 5 20 2 1 1 0.39433
11 1 5 21 2 1 1 0.38245
11 1 5 22 2 2 1 0.48931
11 1 5 23 2 2 1 0.52718
11 1 5 24 2 2 1 0.42383
11 1 5 25 2 2 1 0.35505
11 1 5 27 2 2 1 0.42736
11 1 5 29 2 2 1 0.43684
11 1 5 30 2 1 1 0.42839
11 1 5 33 1 2 1 0.47048
11 1 5 34 2 1 1 0.42811
11 1 5 38 2 1 1 0.44777
11 1 5 39 2 2 1 0.48406
11 1 5 40 1 2 1 0.36237
11 1 5 41 1 1 1 0.40473
11 1 5 42 1 2 1 0.39262
11 1 5 43 2 2 1 0.46071
11 1 5 44 2 2 1 0.52949
11 1 5 45 2 1 1 0.35377
11 1 5 46 1 2 1 0.38129
11 1 5 48 1 1 1 0.36529
11 1 5 49 2 2 1 0.42503
11 1 5 52 1 1 1 0.36148
11 1 5 53 2 1 1 0.4937
11 1 5 54 2 2 1 0.51577
11 1 5 57 2 2 1 0.353
11 1 5 58 2 2 1 0.51651
11 1 5 60 2 2 1 0.54349
11 1 5 61 1 1 1 0.4053
11 1 5 62 1 1 1 0.33931
11 1 5 63 2 2 1 0.38984
11 1 5 65 1 2 1 0.43632
11 1 5 68 1 1 1 0.40838
11 1 5 69 1 1 1 0.34115
11 1 5 70 1 2 1 0.33544
11 1 5 72 1 2 1 0.34788
11 1 5 74 2 1 1 0.34004
11 1 5 75 1 1 1 0.39923
11 1 5 76 1 1 1 0.42696
11 1 5 78 2 1 1 0.41985
11 1 5 79 2 1 1 0.38412
11 1 5 80 2 2 1 0.56534
11 1 5 81 2 2 1 0.45874
11 1 5 82 1 2 1 0.36814
11 1 5 86 2 1 1 0.4853
11 1 5 87 2 1 1 0.37167
11 1 5 89 1 1 1 0.40275
11 1 5 90 1 1 1 0.33488
11 1 5 91 1 1 1 0.35447
11 1 5 92 1 2 1 0.40604
11 1 5 93 1 2 1 0.43291
11 1 5 94 1 2 1 0.49447
11 1 5 95 2 1 1 0.46062
11 1 5 96 2 1 1 0.44261
11 1 5 98 1 2 1 0.4276
11 1 5 99 1 1 1 0.38378
11 1 5 101 2 2 1 0.44797
11 1 5 102 1 1 1 0.43697
11 1 5 104 2 1 1 0.37085
11 1 5 107 1 2 1 0.47914
11 1 5 108 1 1 1 0.37329
11 1 5 109 2 2 1 0.54492
11 1 5 110 1 2 1 0.41637
11 1 5 111 1 2 1 0.49987
11 1 5 115 2 1 1 0.43257
11 1 5 118 1 1 1 0.33549
11 1 5 120 1 2 1 0.3733
11 1 5 121 1 1 1 0.39316
11 1 5 122 2 2 1 0.46786
11 1 5 123 2 1 1 0.44098
11 1 5 124 1 1 1 0.42274
11 1 5 125 2 1 1 0.47522
11 1 5 129 1 1 1 0.39901
11 1 5 130 1 1 1 0.41012
11 1 5 131 1 1 1 0.39072
11 1 5 132 1 1 1 0.43345
11 1 5 135 2 2 1 0.45663
11 1 5 139 2 1 1 0.45383
11 1 5 140 1 2 1 0.56251
11 1 5 141 2 2 1 0.51441
11 1 5 142 1 2 1 0.36068
11 2 1 27 1 2 1 0.38815
11 2 1 28 2 2 1 0.45766
11 2 1 29 1 1 1 0.58869
11 2 1 30 1 2 1 0.36596
11 2 1 34 1 2 1 0.47297
11 2 1 36 2 1 1 0.35368
11 2 1 37 1 1 1 0.38872
11 2 1 38 1 2 1 0.45757
11 2 1 39 2 2 1 0.45489
11 2 1 40 1 2 1 0.33232
11 2 1 43 1 1 1 0.37891
11 2 1 44 2 2 1 0.4388
11 2 1 49 1 2 1 0.33725
11 2 1 50 1 1 1 0.34872
11 2 1 51 2 1 1 0.44813
11 2 1 53 2 1 1 0.3748
11 2 1 56 1 2 1 0.53789
11 2 1 58 1 1 1 0.37333
11 2 1 59 2 2 1 0.44874
11 2 1 61 2 2 1 0.48357
11 2 1 64 2 2 1 0.43175
11 2 1 65 1 2 1 0.37395
11 2 1 66 1 1 1 0.34412
11 2 1 67 2 2 1 0.45872
11 2 1 68 1 2 1 0.40734
11 2 1 70 1 2 1 0.40057
11 2 1 71 1 1 1 0.38945
11 2 1 72 1 1 1 0.3357
11 2 1 74 2 2 1 0.42908
11 2 1 75 2 1 1 0.40153
11 2 1 77 2 1 1 0.41724
11 2 1 78 1 1 1 0.43846
11 2 1 79 1 2 1 0.47631
11 2 1 80 2 2 1 0.36189
11 2 1 81 1 2 1 0.38187
11 2 1 82 1 2 1 0.27199
11 2 1 85 1 2 1 0.29466
