"ID","item","item_type","test_type","study_pos","ON_resp","ON_RT","rating_resp","rating_RT","file"
2,"SNOW","word","old",10,"new",1.6152577407,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"SEAT","word","old",45,"old",1.30619552713,"R",0.913251646023,"P10_RKN_2018_Mar_01_1317.csv"
2,"CHUR","nonword","old",40,"old",1.65169392526,"K",1.36947582997,"P10_RKN_2018_Mar_01_1317.csv"
2,"FACE","word","old",22,"old",2.72720302854,"K",0.65756726051,"P10_RKN_2018_Mar_01_1317.csv"
2,"NAUC","nonword","new",NA,"old",1.62450286651,"K",1.14520103908,"P10_RKN_2018_Mar_01_1317.csv"
2,"DATE","word","new",NA,"new",1.42136933794,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"BIRD","word","new",NA,"old",1.47606789997,"K",0.777434552248,"P10_RKN_2018_Mar_01_1317.csv"
2,"RETE","nonword","old",24,"new",2.65987534577,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"TRUV","nonword","old",5,"old",1.69771272957,"K",1.33771910242,"P10_RKN_2018_Mar_01_1317.csv"
2,"SNUZ","nonword","new",NA,"new",2.12573370677,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"SWAZ","nonword","old",44,"old",2.07475392683,"K",0.729477559275,"P10_RKN_2018_Mar_01_1317.csv"
2,"BLUE","word","old",17,"new",1.21751091228,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"GIRL","word","old",14,"old",2.16232806697,"K",1.36943979128,"P10_RKN_2018_Mar_01_1317.csv"
2,"FOSK","nonword","old",35,"new",3.26611319421,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"WORK","word","new",NA,"new",1.69196956726,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"COAT","word","old",21,"old",3.97768745467,"K",1.00142679292,"P10_RKN_2018_Mar_01_1317.csv"
2,"LIFE","word","old",38,"new",1.60410764691,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"JOSP","nonword","old",37,"new",2.04617725064,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"MIND","word","old",6,"new",2.42764515587,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"GATE","word","new",NA,"old",2.8263579734,"K",0.777332754893,"P10_RKN_2018_Mar_01_1317.csv"
2,"DOOR","word","old",43,"old",1.18910882359,"R",0.98526530301,"P10_RKN_2018_Mar_01_1317.csv"
