Subject,Task,TrialProc,Block,Trial,Accuracy,RT,Response,CorrectResponse,Stimulus_1,Stimulus_2,TargetLength,Distractor_Location,LetterComp.Total,NumberComp.Total,LetterComp_1.Total,LetterComp_2.Total,NumberComp_1.Total,NumberComp_2.Total,SessionDate,SessionTime
14011,LetterComparison,real,1,11,1,2471,different,different,MLPCJQ,MLPCXQ,6,5,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,1,12,1,3605,different,different,QDPVKTGHF,QDPVKTGHY,9,9,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,2,1,1,2482,same,same,THKBYZ,THKBYZ,6,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,2,2,1,2354,same,same,GCFPNX,GCFPNX,6,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,2,3,1,1438,same,same,QDK,QDK,3,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,2,4,1,2758,same,same,YJZTHQ,YJZTHQ,6,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,2,5,1,3402,different,different,JHPZQXNDY,JHPZQLNDY,9,6,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,2,6,1,3892,same,same,KXWSVFZGJ,KXWSVFZGJ,9,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,2,7,0,3036,same,different,SZRVPMTJH,SZYVPMTJH,9,3,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,2,8,1,1333,different,different,MXK,GXK,3,1,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,2,9,1,2906,different,different,CTBWGZNRL,CTBDGZNRL,9,4,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,2,10,1,2144,same,same,KSDPVF,KSDPVF,6,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,2,11,1,1285,different,different,FVN,FVY,3,3,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,2,12,1,4596,different,different,CGJXKS,CGJXHS,6,5,23,32,12,11,18,14,09-07-2014,15:41:48
14011,LetterComparison,real,2,13,0,2999,same,different,ZDRQKMPZH,ZJRQKMPZH,9,2,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,practice,NA,1,1,2941,different,different,529760843,521760843,NA,NA,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,practice,NA,2,1,3086,same,same,650198437,650198437,NA,NA,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,practice,NA,3,1,1257,same,same,468,468,NA,NA,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,practice,NA,4,1,1723,same,same,905731,905731,NA,NA,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,practice,NA,5,1,1492,different,different,490371,490378,NA,NA,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,practice,NA,6,1,1270,different,different,361,261,NA,NA,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,1,1,1076,same,same,780,780,3,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,2,1,996,same,same,678,678,3,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,3,1,1710,different,different,825031764,895031764,9,2,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,4,1,1204,different,different,708,208,3,1,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,5,1,3446,same,same,984760213,984760213,9,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,6,1,2023,same,same,562937,562937,6,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,7,1,1720,different,different,451076,451079,6,6,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,8,1,2021,different,different,653782,153782,6,1,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,9,1,1055,different,different,109,139,3,2,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,10,1,999,same,same,739,739,3,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,11,1,2233,same,same,324719605,324719605,9,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,12,1,1043,different,different,405,402,3,3,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,13,1,1052,same,same,836,836,3,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,14,1,1093,different,different,897,397,3,1,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,15,1,1171,same,same,724,724,3,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,16,1,1223,different,different,198,196,3,3,23,32,12,11,18,14,09-07-2014,15:41:48
