Subject,TrialProc,Trial,Accuracy,RT,Target,FixationDuration,AdminTime,SessionDate,SessionTime
14006,practice,9,1,400,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,practice,10,1,460,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,practice,11,1,430,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,practice,12,1,393,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,practice,13,1,990,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,practice,14,1,323,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,practice,15,1,506,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,practice,16,1,1010,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,1,1,397,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,2,1,368,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,3,1,396,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,4,1,296,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,5,1,345,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,6,0,248,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,7,1,442,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,8,1,491,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,9,1,355,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,10,1,328,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,11,1,582,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,12,1,514,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,13,1,529,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,14,1,368,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,15,1,397,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,16,1,426,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,17,1,381,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,18,1,354,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,19,1,463,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,20,1,384,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,21,1,428,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,22,1,511,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,23,1,455,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,24,1,369,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,25,1,806,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,26,1,378,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,27,0,894,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,28,0,1158,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,29,1,411,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,30,1,407,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,31,1,547,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,32,1,480,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,33,1,426,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,34,1,404,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,35,1,599,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,36,1,556,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,37,1,466,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,38,1,507,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,39,1,378,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,40,1,429,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,41,1,495,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,42,1,302,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,43,1,701,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,44,1,589,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,45,1,394,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,46,1,341,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,47,1,627,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,48,1,407,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,49,1,474,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,50,1,361,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,51,1,493,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,52,1,373,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,53,1,634,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,54,1,629,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,55,1,520,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,56,1,558,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,57,0,1052,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,58,0,590,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,59,1,425,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,60,1,395,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,61,1,718,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,62,1,430,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,63,1,465,Q,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,64,0,666,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,65,1,363,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,66,1,552,Q,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,67,1,1157,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,68,0,659,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,69,1,691,O,3000,9.225733333333332,10-18-2017,13:28:00
14006,real,70,0,1034,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,71,1,452,O,2000,9.225733333333332,10-18-2017,13:28:00
14006,real,72,0,0,Q,3000,9.225733333333332,10-18-2017,13:28:00
14007,practice,1,1,446,Q,2000,8.460583333333334,10-02-2017,13:18:56
14007,practice,2,1,1274,Q,2000,8.460583333333334,10-02-2017,13:18:56
14007,practice,3,1,764,O,2000,8.460583333333334,10-02-2017,13:18:56
14007,practice,4,1,641,Q,3000,8.460583333333334,10-02-2017,13:18:56
14007,practice,5,0,770,Q,2000,8.460583333333334,10-02-2017,13:18:56
14007,practice,6,1,519,O,3000,8.460583333333334,10-02-2017,13:18:56
14007,practice,7,1,537,Q,3000,8.460583333333334,10-02-2017,13:18:56
14007,practice,8,1,968,Q,2000,8.460583333333334,10-02-2017,13:18:56
14007,practice,9,1,485,Q,3000,8.460583333333334,10-02-2017,13:18:56
14007,practice,10,1,409,O,2000,8.460583333333334,10-02-2017,13:18:56
14007,practice,11,0,589,O,2000,8.460583333333334,10-02-2017,13:18:56
14007,practice,12,1,623,Q,3000,8.460583333333334,10-02-2017,13:18:56
