Subject,Block,Trial,SetSize,SubTrial,SubTrialProc,RT,Accuracy,Response,CorrectResponse,MemoryItem,Processing.total,Recall.total,RotSpan.Absolute,RotSpan.Partial,RotSpan.Partial_Block1,RotSpan.Partial_Block2,RotSpan.RotationACC,RotSpan.RotationDuration,SessionDate,SessionTime
14001,1,3,7,1,ProcessingTask,560,1,TRUE,TRUE,15,6,6,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,3,7,2,ProcessingTask,414,1,TRUE,TRUE,7,6,6,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,3,7,3,ProcessingTask,551,1,FALSE,FALSE,16,6,6,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,3,7,4,ProcessingTask,512,1,FALSE,FALSE,12,6,6,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,3,7,5,ProcessingTask,1079,1,TRUE,TRUE,6,6,6,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,3,7,6,ProcessingTask,469,0,FALSE,TRUE,2,6,6,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,3,7,7,ProcessingTask,686,1,FALSE,FALSE,5,6,6,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,3,7,8,Recall,NA,1,15,15,NA,6,6,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,3,7,9,Recall,NA,1,7,7,NA,6,6,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,3,7,10,Recall,NA,1,16,16,NA,6,6,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,3,7,11,Recall,NA,1,12,12,NA,6,6,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,3,7,12,Recall,NA,1,6,6,NA,6,6,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,3,7,13,Recall,NA,1,2,2,NA,6,6,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
