Subject,IT_Standard_Last4Rev.StimulusDuration,IT_2L2D_Last4Rev.StimulusDuration,IT_4L_Last4Rev.StimulusDuration,SACT.ACC,Antisaccade.ACC,VAorient_S.k,StroopDL_Last4Rev.ResponseDeadline,Auditory_FlankerDL_Last4Rev.ResponseDeadline,Auditory_SimonDL_Last4Rev.ResponseDeadline,Auditory_StroopDL_Last4Rev.ResponseDeadline,LetterComparison.PointScore,DigitComparison.PointScore,PatternComparison.PointScore,Hick_SimpleRT.RT,Hick_ChoiceRT.RT,Prosaccade.RT_mean,SymSpan.EditDistanceScore,RotSpan.EditDistanceScore,RAPM.TotalScore,LetterSets.TotalScore,NumberSeries.TotalScore,IT_Standard_SD.StimulusDuration,IT_2L2D_SD.StimulusDuration,IT_4L_SD.StimulusDuration,IT_Standard_Lapses.Sum,IT_2L2D_Lapses.Sum,IT_4L_Lapses.Sum,VAorient_S_unit,Missing,Not_Missing,Missing_perc
16098,126.5,127.5,225.5,0.8181818181818181,0.5694444444444444,2.683333333333333,868.5,NA,1850.5,1665,20,32,34,396.2631578947368,340.125,401.830985915493,39,36,14,19,13,75.62242610355234,122.02923001774371,53.88535242228409,2,5,0,0.7166666666666666,1,27,0.03571428571428571
16099,75.5,101,98,0.9545454545454546,0.8055555555555557,2.583333333333333,564.5,993.5,657.5,758.5,14,28,36,307.9166666666667,346.5833333333333,316.7714285714286,31,31,8,18,8,53.42798145286475,55.87438022249757,60.961005877434935,3,1,1,0.6833333333333333,0,28,0
16100,135,265,NA,0.8333333333333333,0.6111111111111112,2.95,2646.5,1567,639.5,1401.5,17,24,40,571.0909090909091,331.04347826086956,552.304347826087,27,29,12,15,5,56.08934109433952,99.73133901773056,125.51499585466736,0,1,1,0.75,1,27,0.03571428571428571
16104,58.5,107.5,127.5,1,0.9583333333333331,3.3666666666666667,502,845.5,650,967,24,29,49,250.13636363636363,299.5,408.92957746478874,49,41,15,26,13,63.39394729145275,62.38771473899819,64.73448224469986,2,5,2,0.8666666666666667,0,28,0
16106,133,363,250,0.7424242424242424,0.5416666666666667,1.25,734,1554,1261,1006.5,23,23,38,323.09090909090907,333.5416666666667,431.9577464788733,19,20,10,12,8,86.16476670470706,94.66063873027002,73.71749794686534,5,0,0,0.35,0,28,0
16107,143.5,131,205.5,0.9242424242424242,0.75,2.466666666666667,945.5,835,1051.5,1016,15,34,42,321.2142857142857,281.1666666666667,354.49295774647885,44,34,10,17,12,58.115343703353105,70.4537975459981,64.15025579955964,1,6,1,0.6666666666666667,0,28,0
16108,65.5,114,132,0.9696969696969696,0.9722222222222222,3.166666666666667,988,763.5,697,940.5,23,37,47,300.04545454545456,385.875,NA,38,32,13,21,14,45.79742145641759,67.95988595701716,65.52304559119713,0,3,3,0.8,1,27,0.03571428571428571
16113,58.5,58.5,142.5,0.7272727272727273,0.9305555555555556,2.4833333333333334,1035.5,NA,1719.5,1558,21,26,31,274.85,305.2916666666667,524.3194444444445,41,3,9,15,13,72.60579221955909,61.309523834115346,60.51794397162871,2,5,0,0.6499999999999999,1,27,0.03571428571428571
16114,58.5,109.5,154.5,1,0.7083333333333334,3.4333333333333336,1162.5,914.5,701,839.5,24,33,40,318.2631578947368,296.875,332.71428571428567,24,22,8,17,12,47.50274348180189,94.25096412020751,81.59003859027843,2,2,1,0.8666666666666667,0,28,0
16115,109.5,259.5,215,0.8181818181818181,0.7638888888888888,3.1000000000000005,2462,787,1627,1202.5,16,23,34,491.91666666666663,NA,470.6388888888889,34,26,13,16,11,61.34918875578477,82.97704330905057,62.56025464296726,3,1,2,0.8,1,27,0.03571428571428571
16116,123.5,159.5,191.5,0.8636363636363635,0.9027777777777778,2.783333333333333,1061,1074.5,NA,967.5,18,26,39,308,328,326.2786885245902,31,20,15,15,8,50.587571533105056,65.48237541019493,69.32974132300576,0,2,1,0.7166666666666667,1,27,0.03571428571428571
16117,89.5,258.5,364.5,0.6818181818181819,0.7083333333333333,2.2666666666666666,957.5,1372,976,1194.5,22,24,37,411.9130434782608,423.5833333333333,446.30555555555554,34,20,10,16,10,64.76601365548676,92.60654205403458,83.46112187868209,4,2,0,0.6000000000000001,0,28,0
16121,133.5,168,200,0.9393939393939394,0.6944444444444444,2.25,1045,910.5,801,985,20,34,42,291,385.7083333333333,481.2361111111111,33,37,13,25,12,59.92281900568977,76.40011093155958,68.09250070662898,1,3,0,0.5833333333333334,0,28,0
16122,NA,169,147,0.9545454545454546,1,2.366666666666667,650.5,797.5,490,905,21,35,48,NA,306.82608695652175,431.47222222222223,39,28,14,22,13,NA,63.2441935214957,72.03603991127841,NA,0,2,0.6333333333333333,4,24,0.14285714285714285
16124,58.5,139.5,241.5,0.9545454545454546,0.625,2.466666666666667,807.5,838,733,1127,17,34,39,289.0909090909091,305.625,461.5138888888889,46,38,13,21,14,49.64440931148769,62.91668193133066,85.41957355371947,0,0,2,0.6666666666666667,0,28,0
16125,92.5,75.5,192.5,0.9848484848484848,0.8472222222222222,2.6166666666666667,840.5,1920,540.5,956,19,31,44,353.9375,316.54545454545456,400.07142857142856,38,40,13,13,9,56.36077744356046,69.04279688293661,56.89127368302274,1,5,0,0.6833333333333333,0,28,0
16126,74,109.5,126.5,0.8181818181818181,0.8194444444444444,1.4833333333333332,557,707,491.5,996.5,25,35,44,238.33333333333337,285.5416666666667,371.7638888888889,38,31,13,18,8,54.65851435494165,182.08045139482115,52.87480194621124,3,7,3,0.41666666666666663,0,28,0
16127,91.5,158.5,179,0.9090909090909092,0.9583333333333334,2.433333333333333,556.5,1152,637.5,893,20,33,38,469.7391304347827,309.7083333333333,319.19444444444446,35,37,10,11,9,47.67158259628101,62.82756713011703,64.07420343710324,2,5,3,0.6333333333333333,0,28,0
16128,101,117,169,0.9090909090909092,0.7916666666666667,3.0666666666666664,887.5,848,727,1095,23,31,43,243.76190476190476,292.0833333333333,321.5492957746479,42,34,12,20,12,74.31442866974514,84.66821981598828,58.94094893190054,2,5,1,0.8,0,28,0
16129,118,241.5,98,0.9393939393939394,0.8888888888888888,3.016666666666667,934.5,917.5,1565.5,906.5,14,36,38,245.47058823529412,293.625,NA,32,33,13,14,8,60.95550856832134,88.36056050344105,73.99439311708663,2,0,6,0.7833333333333334,1,27,0.03571428571428571
16131,92.5,141.5,234,0.8939393939393939,0.7916666666666666,3.1333333333333337,835,1429.5,642.5,957.5,21,31,41,305.9047619047619,297.4782608695652,433.2957746478873,49,36,15,20,13,61.270936499897466,116.9255082010983,59.35157899397466,3,4,0,0.8,0,28,0
16132,145,219.5,174.5,0.9242424242424242,0.7222222222222221,2.6166666666666667,1968.5,1365.5,524.5,1971,17,24,42,260.39130434782606,285.0833333333333,430.9117647058823,37,29,11,12,8,68.13846652638564,84.97024666993109,67.90606778891848,2,4,2,0.6833333333333333,0,28,0
16133,58.5,177.5,157.5,0.8636363636363636,0.8888888888888888,2.7833333333333337,962,2993.5,798.5,1022.5,17,29,40,372.8,339.4782608695652,435.11111111111103,43,41,14,13,10,64.82019593782819,79.58743073630204,71.08276067548465,3,2,4,0.7166666666666668,0,28,0
16136,84,122.5,144.5,1,0.9027777777777778,2.9000000000000004,595,712.5,594,845.5,28,39,42,275.4782608695652,303.375,333.15277777777777,42,34,10,21,10,32.77220296583741,63.7199623296403,60.40817132740048,0,4,0,0.7666666666666667,0,28,0
16138,149,151,225.5,1,0.9722222222222222,3.016666666666667,772.5,1015.5,1070.5,886.5,24,32,49,355.75,330.5,428.45714285714286,50,43,10,10,8,61.71683434723441,58.12894919093715,61.07384206349854,1,1,0,0.7833333333333334,0,28,0
16139,141.5,255.5,236,1,0.9305555555555556,2.1666666666666665,659.5,2442.5,662,820.5,22,31,42,412.6875,296.25,434.56944444444446,37,44,8,17,8,55.01371524672942,69.06836986864579,90.86572394051588,0,1,2,0.5666666666666667,0,28,0
16140,83,118,159.5,0.9393939393939394,0.9305555555555556,1.6333333333333335,1070.5,NA,1817.5,1108.5,20,24,37,NA,285.14285714285717,419.54929577464793,26,25,6,13,7,57.54513723286213,71.9262698731996,58.58459059615548,3,4,4,0.4333333333333334,2,26,0.07142857142857142
16142,58.5,172.5,141.5,1,0.9027777777777778,2.466666666666667,761.5,2499.5,1222.5,949.5,11,22,37,292.04545454545456,355.875,446.80555555555554,34,28,11,12,7,65.70830325781725,65.33480331969092,67.02268854754968,2,0,3,0.6666666666666667,0,28,0
16143,58.5,58.5,125.5,0.9696969696969696,0.9583333333333331,3.75,1003.5,636.5,599.5,988.5,22,33,41,NA,277.30434782608694,536.4027777777778,44,43,15,20,13,48.46413732217854,58.68282337162423,47.60195757790038,0,5,0,0.95,1,27,0.03571428571428571
16146,140.5,177.5,256.5,0.9848484848484848,0.7638888888888888,2.066666666666667,1974,1951.5,843.5,1845.5,20,34,33,332.77272727272725,338.5416666666667,502.1388888888889,32,18,11,16,10,58.388039190979654,58.80168618222049,79.30655800023081,1,3,2,0.5333333333333334,0,28,0
16147,161.5,118,226.5,0.9393939393939394,0.7083333333333333,NA,NA,1842.5,1045,1162.5,19,24,27,458.78571428571433,294.22727272727275,450.55555555555554,26,39,12,NA,10,69.00549880443026,120.92081694907291,73.00120226348942,2,5,2,NA,4,24,0.14285714285714285
16149,67,119,152,0.7878787878787877,0.625,2.2333333333333334,925,873.5,1393,1176.5,20,13,37,471.8,321.5652173913044,391.5857142857143,32,36,8,9,8,51.45406527509107,120.12156962578246,51.969440010793456,1,8,1,0.6,0,28,0
16150,58.5,166,174.5,0.9090909090909092,0.8194444444444444,3.216666666666667,644.5,836,730,1060.5,20,34,37,242.28571428571428,277,402.8611111111111,37,26,9,9,7,63.45741857049663,69.79158436535846,107.13996281129502,2,3,4,0.8166666666666667,0,28,0
16151,81,192.5,123.5,0.8787878787878788,0.7638888888888887,1.5833333333333337,1133.5,NA,961,996,19,24,36,405.8333333333333,NA,539.7916666666666,31,32,8,13,8,72.26800740034986,62.61528374818124,57.59866265562345,3,1,2,0.45000000000000007,2,26,0.07142857142857142
16152,72.5,223.5,105.5,1,0.9722222222222222,3.4833333333333334,591,974,430.5,859,27,34,41,NA,249.75,385.169014084507,45,32,13,18,12,56.25946728839927,59.108252054961895,62.79381999677384,3,0,5,0.8833333333333333,1,27,0.03571428571428571
16153,118,166,156.5,0.8333333333333333,0.8333333333333333,1.3166666666666669,903.5,706.5,490.5,1041,19,31,37,253.52631578947367,298.875,397.44776119402985,32,27,13,13,9,60.510769219118025,61.46693743113549,97.8781990229266,1,2,2,0.3833333333333333,0,28,0
16154,75.5,190.5,176.5,0.9393939393939394,0.7777777777777778,2.75,NA,1889.5,725,1044,25,31,42,339.9375,417.5,427.4027777777777,24,24,11,17,8,63.27816279353266,65.1753227459248,74.9433710560729,3,0,6,0.7166666666666667,1,27,0.03571428571428571
