Subject,TrialProc,Trial,Accuracy,RT,Target,FixationDuration,SessionDate,SessionTime
12010,real,22,1,494,Q,1000,02-20-2015,13:47:00
12010,real,23,1,300,O,1000,02-20-2015,13:47:00
12010,real,24,1,344,Q,2000,02-20-2015,13:47:00
12010,real,25,1,364,Q,1000,02-20-2015,13:47:00
12010,real,26,1,391,Q,2000,02-20-2015,13:47:00
12010,real,27,1,288,Q,2000,02-20-2015,13:47:00
12010,real,28,1,804,Q,1000,02-20-2015,13:47:00
12010,real,29,1,430,O,2000,02-20-2015,13:47:00
12010,real,30,1,910,O,1000,02-20-2015,13:47:00
12010,real,31,1,379,O,1000,02-20-2015,13:47:00
12010,real,32,1,301,Q,1000,02-20-2015,13:47:00
12010,real,33,1,394,Q,2000,02-20-2015,13:47:00
12010,real,34,1,315,Q,1000,02-20-2015,13:47:00
12010,real,35,1,472,O,2000,02-20-2015,13:47:00
12010,real,36,1,372,Q,1000,02-20-2015,13:47:00
12010,real,37,1,470,Q,1000,02-20-2015,13:47:00
12010,real,38,1,325,Q,1000,02-20-2015,13:47:00
12010,real,39,1,385,Q,2000,02-20-2015,13:47:00
12010,real,40,1,467,O,1000,02-20-2015,13:47:00
12010,real,41,1,545,O,2000,02-20-2015,13:47:00
12010,real,42,1,245,O,2000,02-20-2015,13:47:00
12010,real,43,1,285,O,1000,02-20-2015,13:47:00
12010,real,44,1,362,Q,2000,02-20-2015,13:47:00
12010,real,45,0,596,Q,2000,02-20-2015,13:47:00
12010,real,46,1,439,O,2000,02-20-2015,13:47:00
12010,real,47,1,447,O,2000,02-20-2015,13:47:00
12010,real,48,1,503,Q,2000,02-20-2015,13:47:00
12012,practice,1,1,579,O,1000,02-20-2015,15:03:48
12012,practice,2,1,685,Q,1000,02-20-2015,15:03:48
12012,practice,3,1,667,Q,2000,02-20-2015,15:03:48
12012,practice,4,1,505,Q,2000,02-20-2015,15:03:48
12012,practice,5,1,717,O,2000,02-20-2015,15:03:48
12012,practice,6,1,481,O,1000,02-20-2015,15:03:48
12012,practice,7,1,431,Q,1000,02-20-2015,15:03:48
12012,practice,8,0,767,O,1000,02-20-2015,15:03:48
12012,practice,9,1,441,O,2000,02-20-2015,15:03:48
12012,practice,10,1,457,Q,1000,02-20-2015,15:03:48
12012,practice,11,1,463,Q,2000,02-20-2015,15:03:48
12012,practice,12,1,470,O,2000,02-20-2015,15:03:48
12012,practice,13,1,468,O,1000,02-20-2015,15:03:48
12012,practice,14,1,435,Q,1000,02-20-2015,15:03:48
12012,practice,15,1,697,O,2000,02-20-2015,15:03:48
12012,practice,16,1,552,Q,2000,02-20-2015,15:03:48
12012,real,1,1,455,O,1000,02-20-2015,15:03:48
12012,real,2,1,694,O,1000,02-20-2015,15:03:48
12012,real,3,1,483,Q,2000,02-20-2015,15:03:48
12012,real,4,1,528,Q,1000,02-20-2015,15:03:48
12012,real,5,1,788,O,2000,02-20-2015,15:03:48
12012,real,6,1,454,O,1000,02-20-2015,15:03:48
12012,real,7,1,396,O,2000,02-20-2015,15:03:48
12012,real,8,1,445,O,1000,02-20-2015,15:03:48
12012,real,9,1,470,Q,2000,02-20-2015,15:03:48
12012,real,10,1,564,Q,1000,02-20-2015,15:03:48
12012,real,11,0,646,O,2000,02-20-2015,15:03:48
12012,real,12,1,566,O,2000,02-20-2015,15:03:48
12012,real,13,1,408,O,2000,02-20-2015,15:03:48
12012,real,14,1,496,O,2000,02-20-2015,15:03:48
12012,real,15,1,391,O,2000,02-20-2015,15:03:48
12012,real,16,1,456,Q,1000,02-20-2015,15:03:48
12012,real,17,1,598,Q,1000,02-20-2015,15:03:48
12012,real,18,1,400,O,1000,02-20-2015,15:03:48
12012,real,19,1,386,O,1000,02-20-2015,15:03:48
12012,real,20,1,452,Q,1000,02-20-2015,15:03:48
12012,real,21,1,665,O,1000,02-20-2015,15:03:48
12012,real,22,1,384,O,1000,02-20-2015,15:03:48
12012,real,23,1,321,O,1000,02-20-2015,15:03:48
