*ITEM#,SUBANS,CORANS,ISCORR,ACTANS,SGRP,SEED,RTIME
1668,3,3,1,3,B,275,623.51
1669,1,1,1,0,B,275,746.95
1670,6,5,0,6,B,275,2084.26
1671,4,3,0,3,B,275,963.13
1672,5,5,1,6,B,275,1289.75
1673,5,5,1,6,B,275,628.73
1674,7,7,1,9,B,275,552.52
1675,6,6,1,7,B,275,657.79
1676,4,3,0,3,B,275,1727.64
1677,6,6,1,7,B,275,868.15
1678,4,4,1,4,B,275,969.21
1679,7,7,1,9,B,275,950.93
1680,3,3,1,3,B,275,800.87
1681,3,3,1,3,B,275,512.76
1682,6,6,1,7,B,275,728.65
1683,2,2,1,1,B,275,1022.10
1684,7,7,1,9,B,275,583.56
1685,2,2,1,1,B,275,612.41
1686,2,1,0,0,B,275,582.44
1687,2,2,1,1,B,275,893.80
1688,3,3,1,3,B,275,559.22
1689,4,4,1,4,B,275,541.67
1690,1,1,1,0,B,275,728.98
1691,4,4,1,5,A,270,732.34
1692,2,1,0,0,A,270,2443.18
1693,5,5,1,6,A,270,755.28
1694,5,5,1,6,A,270,668.42
1695,5,4,0,5,A,270,537.25
1696,3,2,0,2,A,270,1004.12
1697,5,5,1,6,A,270,1212.34
1698,3,3,1,3,A,270,1096.64
1699,5,5,1,6,A,270,698.99
1700,5,5,1,6,A,270,1231.03
1701,7,7,1,9,A,270,564.53
1702,7,6,0,8,A,270,534.57
1703,7,7,1,9,A,270,466.30
1704,5,4,0,5,A,270,641.38
1705,6,6,1,8,A,270,929.34
1706,5,5,1,6,A,270,760.24
1707,4,5,0,6,A,270,510.08
1708,6,6,1,8,A,270,702.01
1709,3,3,1,3,A,270,790.01
1710,6,6,1,8,A,270,871.17
1711,4,4,1,5,A,270,1001.86
1712,4,4,1,5,A,270,927.74
1713,2,2,1,2,A,270,1026.64
1714,6,6,1,8,A,270,791.46
1715,1,1,1,0,A,270,639.51
1716,1,1,1,0,A,270,488.28
